candidate_id,axis,topic_code,topic,topic_score,known_count,total_count,coverage_pct
אבי דבוש,deot,D01,"דמוקרטיה, שלטון החוק ואחריות ציבורית",75.2,16.0,16.0,100
אבי דבוש,deot,D02,המאבק על ההגמוניה,78.8,17.0,17.0,100
אבי דבוש,deot,D03,"חרדים, גיוס ושוויון חובות",60.4,7.0,7.0,100
אבי דבוש,deot,D04,שוויון ושותפות יהודית־ערבית,78.2,6.0,6.0,100
אבי דבוש,deot,D05,"ביטחון, פלסטינים ועתיד השטחים",72.6,7.0,7.0,100
אבי דבוש,deot,D06,"חברה, רווחה ופריפריה",93.9,7.0,7.0,100
אבי דבוש,tadmit,T01,זהות וייצוג,73.5,11.0,11.0,100
אבי דבוש,tadmit,T02,ממלכתיות ואחריות,85.0,4.0,4.0,100
אבי דבוש,tadmit,T03,יושרה ואמינות,85.0,6.0,6.0,100
אבי דבוש,tadmit,T04,תקשורתיות ונראות,83.6,5.0,5.0,100
אבי דבוש,tadmit,T05,אותנטיות וסיפור אישי,92.0,1.0,1.0,100
אבי דבוש,yecholot,Y01,"מומחיות מדינית, ביטחונית וממשלית",29.5,2.0,6.0,33
אבי דבוש,yecholot,Y02,"ארגון, ניהול וביצוע",32.9,0.0,6.0,0
אבי דבוש,yecholot,Y03,"חקיקה, פוליטיקה ומוסדות",31.1,3.0,6.0,50
אבי דבוש,yecholot,Y04,"תקשורת, הסברה והשפעה ציבורית",31.4,2.0,6.0,33
אבי דבוש,yecholot,Y05,חיבור בין קהלים ועולמות,30.4,1.0,6.0,17
אבי דבוש,yecholot,Y06,"חדשנות, למידה ושיתוף ציבור",30.8,1.0,6.0,17
אבתיסאם מראענה־מנוחין,deot,D01,"דמוקרטיה, שלטון החוק ואחריות ציבורית",59.7,12.0,16.0,75
אבתיסאם מראענה־מנוחין,deot,D02,המאבק על ההגמוניה,50.2,8.0,17.0,47
אבתיסאם מראענה־מנוחין,deot,D03,"חרדים, גיוס ושוויון חובות",62.8,5.0,7.0,71
אבתיסאם מראענה־מנוחין,deot,D04,שוויון ושותפות יהודית־ערבית,93.8,6.0,6.0,100
אבתיסאם מראענה־מנוחין,deot,D05,"ביטחון, פלסטינים ועתיד השטחים",39.2,6.0,7.0,86
אבתיסאם מראענה־מנוחין,deot,D06,"חברה, רווחה ופריפריה",56.7,6.0,7.0,86
אבתיסאם מראענה־מנוחין,tadmit,T01,זהות וייצוג,73.0,10.0,11.0,91
אבתיסאם מראענה־מנוחין,tadmit,T02,ממלכתיות ואחריות,57.0,4.0,4.0,100
אבתיסאם מראענה־מנוחין,tadmit,T03,יושרה ואמינות,65.3,6.0,6.0,100
אבתיסאם מראענה־מנוחין,tadmit,T04,תקשורתיות ונראות,92.4,5.0,5.0,100
אבתיסאם מראענה־מנוחין,tadmit,T05,אותנטיות וסיפור אישי,84.0,1.0,1.0,100
אבתיסאם מראענה־מנוחין,yecholot,Y01,"מומחיות מדינית, ביטחונית וממשלית",30.9,4.0,6.0,67
אבתיסאם מראענה־מנוחין,yecholot,Y02,"ארגון, ניהול וביצוע",34.7,3.0,6.0,50
אבתיסאם מראענה־מנוחין,yecholot,Y03,"חקיקה, פוליטיקה ומוסדות",32.4,2.0,6.0,33
אבתיסאם מראענה־מנוחין,yecholot,Y04,"תקשורת, הסברה והשפעה ציבורית",32.8,1.0,6.0,17
אבתיסאם מראענה־מנוחין,yecholot,Y05,חיבור בין קהלים ועולמות,30.9,3.0,6.0,50
אבתיסאם מראענה־מנוחין,yecholot,Y06,"חדשנות, למידה ושיתוף ציבור",31.7,2.0,6.0,33
אורי_זכי,deot,D01,"דמוקרטיה, שלטון החוק ואחריות ציבורית",59.9,13.0,16.0,81
אורי_זכי,deot,D02,המאבק על ההגמוניה,50.8,12.0,17.0,71
אורי_זכי,deot,D03,"חרדים, גיוס ושוויון חובות",62.7,6.0,7.0,86
אורי_זכי,deot,D04,שוויון ושותפות יהודית־ערבית,72.3,6.0,6.0,100
אורי_זכי,deot,D05,"ביטחון, פלסטינים ועתיד השטחים",72.5,7.0,7.0,100
אורי_זכי,deot,D06,"חברה, רווחה ופריפריה",35.7,5.0,7.0,71
אורי_זכי,tadmit,T01,זהות וייצוג,48.7,9.0,11.0,82
אורי_זכי,tadmit,T02,ממלכתיות ואחריות,53.1,4.0,4.0,100
אורי_זכי,tadmit,T03,יושרה ואמינות,57.8,6.0,6.0,100
אורי_זכי,tadmit,T04,תקשורתיות ונראות,70.8,5.0,5.0,100
אורי_זכי,tadmit,T05,אותנטיות וסיפור אישי,31.0,1.0,1.0,100
אורי_זכי,yecholot,Y01,"מומחיות מדינית, ביטחונית וממשלית",30.8,2.0,6.0,33
אורי_זכי,yecholot,Y02,"ארגון, ניהול וביצוע",33.3,2.0,6.0,33
אורי_זכי,yecholot,Y03,"חקיקה, פוליטיקה ומוסדות",31.9,3.0,6.0,50
אורי_זכי,yecholot,Y04,"תקשורת, הסברה והשפעה ציבורית",32.3,2.0,6.0,33
אורי_זכי,yecholot,Y05,חיבור בין קהלים ועולמות,30.8,2.0,6.0,33
אורי_זכי,yecholot,Y06,"חדשנות, למידה ושיתוף ציבור",32.6,3.0,6.0,50
איהאב שליאן,deot,D01,"דמוקרטיה, שלטון החוק ואחריות ציבורית",59.3,13.0,16.0,81
איהאב שליאן,deot,D02,המאבק על ההגמוניה,59.2,9.0,17.0,53
איהאב שליאן,deot,D03,"חרדים, גיוס ושוויון חובות",44.9,7.0,7.0,100
איהאב שליאן,deot,D04,שוויון ושותפות יהודית־ערבית,75.0,6.0,6.0,100
איהאב שליאן,deot,D05,"ביטחון, פלסטינים ועתיד השטחים",62.4,1.0,7.0,14
איהאב שליאן,deot,D06,"חברה, רווחה ופריפריה",63.3,4.0,7.0,57
איהאב שליאן,tadmit,T01,זהות וייצוג,68.2,9.0,11.0,82
איהאב שליאן,tadmit,T02,ממלכתיות ואחריות,76.0,4.0,4.0,100
איהאב שליאן,tadmit,T03,יושרה ואמינות,68.5,6.0,6.0,100
איהאב שליאן,tadmit,T04,תקשורתיות ונראות,68.8,5.0,5.0,100
איהאב שליאן,tadmit,T05,אותנטיות וסיפור אישי,78.0,1.0,1.0,100
איהאב שליאן,yecholot,Y01,"מומחיות מדינית, ביטחונית וממשלית",31.1,1.0,6.0,17
איהאב שליאן,yecholot,Y02,"ארגון, ניהול וביצוע",32.7,1.0,6.0,17
איהאב שליאן,yecholot,Y03,"חקיקה, פוליטיקה ומוסדות",30.0,3.0,6.0,50
איהאב שליאן,yecholot,Y04,"תקשורת, הסברה והשפעה ציבורית",32.4,1.0,6.0,17
איהאב שליאן,yecholot,Y05,חיבור בין קהלים ועולמות,31.1,2.0,6.0,33
איהאב שליאן,yecholot,Y06,"חדשנות, למידה ושיתוף ציבור",31.6,2.0,6.0,33
איילת השחר סיידוף,deot,D01,"דמוקרטיה, שלטון החוק ואחריות ציבורית",50.1,12.0,16.0,75
איילת השחר סיידוף,deot,D02,המאבק על ההגמוניה,41.4,11.0,17.0,65
איילת השחר סיידוף,deot,D03,"חרדים, גיוס ושוויון חובות",66.5,6.0,7.0,86
איילת השחר סיידוף,deot,D04,שוויון ושותפות יהודית־ערבית,49.5,4.0,6.0,67
איילת השחר סיידוף,deot,D05,"ביטחון, פלסטינים ועתיד השטחים",55.2,1.0,7.0,14
איילת השחר סיידוף,deot,D06,"חברה, רווחה ופריפריה",59.8,1.0,7.0,14
איילת השחר סיידוף,tadmit,T01,זהות וייצוג,50.0,9.0,11.0,82
איילת השחר סיידוף,tadmit,T02,ממלכתיות ואחריות,52.2,4.0,4.0,100
איילת השחר סיידוף,tadmit,T03,יושרה ואמינות,51.9,6.0,6.0,100
איילת השחר סיידוף,tadmit,T04,תקשורתיות ונראות,75.2,5.0,5.0,100
איילת השחר סיידוף,tadmit,T05,אותנטיות וסיפור אישי,82.0,1.0,1.0,100
איילת השחר סיידוף,yecholot,Y01,"מומחיות מדינית, ביטחונית וממשלית",29.6,5.0,6.0,83
איילת השחר סיידוף,yecholot,Y02,"ארגון, ניהול וביצוע",32.7,1.0,6.0,17
איילת השחר סיידוף,yecholot,Y03,"חקיקה, פוליטיקה ומוסדות",29.8,6.0,6.0,100
איילת השחר סיידוף,yecholot,Y04,"תקשורת, הסברה והשפעה ציבורית",32.2,1.0,6.0,17
איילת השחר סיידוף,yecholot,Y05,חיבור בין קהלים ועולמות,29.7,2.0,6.0,33
איילת השחר סיידוף,yecholot,Y06,"חדשנות, למידה ושיתוף ציבור",30.4,4.0,6.0,67
אמילי_מואטי,deot,D01,"דמוקרטיה, שלטון החוק ואחריות ציבורית",57.6,15.0,16.0,94
אמילי_מואטי,deot,D02,המאבק על ההגמוניה,62.6,15.0,17.0,88
אמילי_מואטי,deot,D03,"חרדים, גיוס ושוויון חובות",54.9,6.0,7.0,86
אמילי_מואטי,deot,D04,שוויון ושותפות יהודית־ערבית,56.8,6.0,6.0,100
אמילי_מואטי,deot,D05,"ביטחון, פלסטינים ועתיד השטחים",67.2,7.0,7.0,100
אמילי_מואטי,deot,D06,"חברה, רווחה ופריפריה",73.3,7.0,7.0,100
אמילי_מואטי,tadmit,T01,זהות וייצוג,78.5,11.0,11.0,100
אמילי_מואטי,tadmit,T02,ממלכתיות ואחריות,52.6,4.0,4.0,100
אמילי_מואטי,tadmit,T03,יושרה ואמינות,80.7,6.0,6.0,100
אמילי_מואטי,tadmit,T04,תקשורתיות ונראות,88.8,5.0,5.0,100
אמילי_מואטי,tadmit,T05,אותנטיות וסיפור אישי,88.0,1.0,1.0,100
אמילי_מואטי,yecholot,Y01,"מומחיות מדינית, ביטחונית וממשלית",30.1,0.0,6.0,0
אמילי_מואטי,yecholot,Y02,"ארגון, ניהול וביצוע",30.7,5.0,6.0,83
אמילי_מואטי,yecholot,Y03,"חקיקה, פוליטיקה ומוסדות",29.8,1.0,6.0,17
אמילי_מואטי,yecholot,Y04,"תקשורת, הסברה והשפעה ציבורית",31.9,0.0,6.0,0
אמילי_מואטי,yecholot,Y05,חיבור בין קהלים ועולמות,30.3,2.0,6.0,33
אמילי_מואטי,yecholot,Y06,"חדשנות, למידה ושיתוף ציבור",30.0,2.0,6.0,33
אפרת רייטן,deot,D01,"דמוקרטיה, שלטון החוק ואחריות ציבורית",78.8,16.0,16.0,100
אפרת רייטן,deot,D02,המאבק על ההגמוניה,58.2,15.0,17.0,88
אפרת רייטן,deot,D03,"חרדים, גיוס ושוויון חובות",56.7,7.0,7.0,100
אפרת רייטן,deot,D04,שוויון ושותפות יהודית־ערבית,52.9,4.0,6.0,67
אפרת רייטן,deot,D05,"ביטחון, פלסטינים ועתיד השטחים",57.4,6.0,7.0,86
אפרת רייטן,deot,D06,"חברה, רווחה ופריפריה",63.5,7.0,7.0,100
אפרת רייטן,tadmit,T01,זהות וייצוג,54.9,10.0,11.0,91
אפרת רייטן,tadmit,T02,ממלכתיות ואחריות,83.8,4.0,4.0,100
אפרת רייטן,tadmit,T03,יושרה ואמינות,87.5,6.0,6.0,100
אפרת רייטן,tadmit,T04,תקשורתיות ונראות,84.0,5.0,5.0,100
אפרת רייטן,tadmit,T05,אותנטיות וסיפור אישי,80.0,1.0,1.0,100
אפרת רייטן,yecholot,Y01,"מומחיות מדינית, ביטחונית וממשלית",32.5,5.0,6.0,83
אפרת רייטן,yecholot,Y02,"ארגון, ניהול וביצוע",32.9,0.0,6.0,0
אפרת רייטן,yecholot,Y03,"חקיקה, פוליטיקה ומוסדות",30.6,1.0,6.0,17
אפרת רייטן,yecholot,Y04,"תקשורת, הסברה והשפעה ציבורית",32.4,2.0,6.0,33
אפרת רייטן,yecholot,Y05,חיבור בין קהלים ועולמות,30.5,4.0,6.0,67
אפרת רייטן,yecholot,Y06,"חדשנות, למידה ושיתוף ציבור",30.7,3.0,6.0,50
גאלב סלאמנה,deot,D01,"דמוקרטיה, שלטון החוק ואחריות ציבורית",51.4,15.0,16.0,94
גאלב סלאמנה,deot,D02,המאבק על ההגמוניה,53.4,15.0,17.0,88
גאלב סלאמנה,deot,D03,"חרדים, גיוס ושוויון חובות",36.7,5.0,7.0,71
גאלב סלאמנה,deot,D04,שוויון ושותפות יהודית־ערבית,86.0,6.0,6.0,100
גאלב סלאמנה,deot,D05,"ביטחון, פלסטינים ועתיד השטחים",48.4,7.0,7.0,100
גאלב סלאמנה,deot,D06,"חברה, רווחה ופריפריה",40.5,4.0,7.0,57
גאלב סלאמנה,tadmit,T01,זהות וייצוג,71.6,8.0,11.0,73
גאלב סלאמנה,tadmit,T02,ממלכתיות ואחריות,48.8,4.0,4.0,100
גאלב סלאמנה,tadmit,T03,יושרה ואמינות,62.9,6.0,6.0,100
גאלב סלאמנה,tadmit,T04,תקשורתיות ונראות,52.6,5.0,5.0,100
גאלב סלאמנה,tadmit,T05,אותנטיות וסיפור אישי,70.0,1.0,1.0,100
גאלב סלאמנה,yecholot,Y01,"מומחיות מדינית, ביטחונית וממשלית",27.9,4.0,6.0,67
גאלב סלאמנה,yecholot,Y02,"ארגון, ניהול וביצוע",32.0,6.0,6.0,100
גאלב סלאמנה,yecholot,Y03,"חקיקה, פוליטיקה ומוסדות",28.3,6.0,6.0,100
גאלב סלאמנה,yecholot,Y04,"תקשורת, הסברה והשפעה ציבורית",32.4,5.0,6.0,83
