candidate_id,axis,topic,topic_score,topic_coverage,known_weight_ratio,missing_weight_ratio,negative_weight_ratio,core_missing_count,core_negative_count,general_info_quality,threshold_base_status,summary_reason
אבי דבוש,yecholot,"מומחיות מדינית, ביטחונית וממשלית",68.5,88.9,0.889,0.111,0.0,0,0,high,pass,3 היגדים חיוביים
אבתיסאם מראענה־מנוחין,yecholot,"מומחיות מדינית, ביטחונית וממשלית",37.7,100.0,1.0,0.0,0.247,0,0,high,pass,אין מידע מספיק
אורי_זכי,yecholot,"מומחיות מדינית, ביטחונית וממשלית",84.6,100.0,1.0,0.0,0.0,0,0,high,pass,4 היגדים חיוביים
איהאב שליאן,yecholot,"מומחיות מדינית, ביטחונית וממשלית",92.6,100.0,1.0,0.0,0.0,0,0,high,pass,5 היגדים חיוביים
איילת השחר סיידוף,yecholot,"מומחיות מדינית, ביטחונית וממשלית",44.4,88.9,0.889,0.111,0.0,0,0,high,pass,אין מידע מספיק
אמילי_מואטי,yecholot,"מומחיות מדינית, ביטחונית וממשלית",88.9,88.9,0.889,0.111,0.0,0,0,high,pass,5 היגדים חיוביים
אפרת רייטן,yecholot,"מומחיות מדינית, ביטחונית וממשלית",59.9,100.0,1.0,0.0,0.0,0,0,high,pass,1 היגדים חיוביים
גאלב סלאמנה,yecholot,"מומחיות מדינית, ביטחונית וממשלית",37.7,75.3,0.753,0.247,0.0,0,0,high,pass,אין מידע מספיק
גבי לסקי,yecholot,"מומחיות מדינית, ביטחונית וממשלית",44.4,88.9,0.889,0.111,0.0,0,0,high,pass,אין מידע מספיק
גלעד קריב,yecholot,"מומחיות מדינית, ביטחונית וממשלית",88.9,88.9,0.889,0.111,0.0,0,0,high,pass,5 היגדים חיוביים
דני אלגרט,yecholot,"מומחיות מדינית, ביטחונית וממשלית",58.6,86.4,0.864,0.136,0.0,0,0,high,pass,2 היגדים חיוביים
דר אמיר ח'ניפס,yecholot,"מומחיות מדינית, ביטחונית וממשלית",41.4,67.9,0.679,0.321,0.0,1,0,medium,pass,1 היגדי ליבה חסרים; 1 היגדים חיוביים
הדס רגולסקי,yecholot,"מומחיות מדינית, ביטחונית וממשלית",50.0,100.0,1.0,0.0,0.0,0,0,high,pass,אין מידע מספיק
יאיא פינק,yecholot,"מומחיות מדינית, ביטחונית וממשלית",48.8,86.4,0.864,0.136,0.0,0,0,high,pass,1 היגדים חיוביים
יאיר רובינשטיין,yecholot,"מומחיות מדינית, ביטחונית וממשלית",44.4,88.9,0.889,0.111,0.0,0,0,high,pass,אין מידע מספיק
לי הופמן אגיב,yecholot,"מומחיות מדינית, ביטחונית וממשלית",0.0,0.0,0.0,1.0,0.0,3,0,low,insufficient_data,3 היגדי ליבה חסרים
מאלק בדר,yecholot,"מומחיות מדינית, ביטחונית וממשלית",61.1,88.9,0.889,0.111,0.0,0,0,high,pass,2 היגדים חיוביים
מהרטה ברוך רון,yecholot,"מומחיות מדינית, ביטחונית וממשלית",37.0,54.3,0.543,0.457,0.0,1,0,medium,pass,1 היגדי ליבה חסרים; 1 היגדים חיוביים
מוסי רז,yecholot,"מומחיות מדינית, ביטחונית וממשלית",88.9,88.9,0.889,0.111,0.0,0,0,high,pass,5 היגדים חיוביים
מורן מישל,yecholot,"מומחיות מדינית, ביטחונית וממשלית",22.8,45.7,0.457,0.543,0.0,2,0,medium,insufficient_data,2 היגדי ליבה חסרים
