redline_id,statement_id,relation_role,polarity,weight,notes
D01-R01,D-006,primary,positive,1.0,
D01-R01,D-059,supporting,positive,0.7,
D01-R01,D-001,supporting,positive,0.6,
D01-R01,D-002,supporting,positive,0.6,
D01-R01,D-004,supporting,positive,0.5,
D01-R01,D-005,supporting,positive,0.5,
D01-R02,D-044,primary,positive,1.0,
D01-R02,D-043,supporting,positive,0.7,
D01-R02,D-045,supporting,positive,0.4,
D01-R02,D-046,supporting,positive,0.4,
D01-R03,D-058,primary,positive,1.0,
D01-R03,D-059,primary,positive,0.9,
D01-R03,D-056,supporting,positive,0.7,
D01-R03,D-003,supporting,positive,0.4,
D01-R03,D-055,contextual,negative,0.4,"עשוי להצביע על נטייה לפשרה רחבה מדי, רק אם אין קווים אדומים מאזנים"
D01-R04,D-005,primary,positive,1.0,
D01-R04,D-004,supporting,positive,0.7,
D01-R04,D-001,supporting,positive,0.6,
D01-R04,D-006,supporting,positive,0.6,
D01-R04,D-002,supporting,positive,0.5,
D01-R04,D-044,supporting,positive,0.5,
D01-R05,D-060,primary,positive,1.0,
D01-R05,D-012,supporting,positive,0.7,
D01-R05,D-007,supporting,positive,0.6,
D01-R05,D-008,supporting,positive,0.6,
D01-R05,D-009,supporting,positive,0.6,
D01-R05,D-055,supporting,positive,0.5,
D02-R01,D-013,primary,positive,1.0,
D02-R01,D-030,supporting,positive,0.9,
D02-R01,D-017,supporting,positive,0.8,
D02-R01,D-018,supporting,positive,0.8,
D02-R01,D-016,supporting,positive,0.6,
D02-R02,D-014,primary,positive,1.0,
D02-R02,D-017,supporting,positive,0.8,
D02-R02,D-013,supporting,positive,0.7,
D02-R02,D-018,supporting,positive,0.7,
D02-R02,D-052,supporting,positive,0.5,
D02-R03,D-017,primary,positive,1.0,
D02-R03,D-013,supporting,positive,0.7,
D02-R03,D-014,supporting,positive,0.7,
D02-R03,D-018,supporting,positive,0.7,
D02-R04,D-018,primary,positive,1.0,
D02-R04,D-013,supporting,positive,0.8,
D02-R04,D-014,supporting,positive,0.7,
D02-R04,D-016,supporting,positive,0.6,
D02-R04,D-052,supporting,positive,0.5,
D02-R04,D-053,supporting,positive,0.5,
