statement_id,axis,topic_code,topic,statement_text,statement_role,statement_weight,is_core,source_status,review_status,old_category_ignored,notes
D-001,deot,D01,"דמוקרטיה, שלטון החוק ואחריות ציבורית","נטייה לתיקון חוקתי ומוסדי עמוק, ולא רק להחלפת ממשלה",supporting,0.75,no,existing,ok,"דמוקרטיה, משילות ותיקון מוסדות המדינה",
D-002,deot,D01,"דמוקרטיה, שלטון החוק ואחריות ציבורית",ראיית המשבר הדמוקרטי כתוצאה של שיטה פוליטית פגומה ולא רק של אדם או ממשלה מסוימת,supporting,0.75,no,existing,ok,"דמוקרטיה, משילות ותיקון מוסדות המדינה",
D-003,deot,D01,"דמוקרטיה, שלטון החוק ואחריות ציבורית",נכונות למאבק ציבורי חריף כאשר מוסדות המדינה נתפסים כמאוימים,contextual,0.5,no,existing,ok,"דמוקרטיה, משילות ותיקון מוסדות המדינה",
D-004,deot,D01,"דמוקרטיה, שלטון החוק ואחריות ציבורית","העדפה לשיקום ממלכתי, זהיר ומוסדי של המדינה לאחר המשבר",supporting,0.75,no,existing,ok,"דמוקרטיה, משילות ותיקון מוסדות המדינה",
D-005,deot,D01,"דמוקרטיה, שלטון החוק ואחריות ציבורית","תמיכה בשיתוף ציבור, דמוקרטיה פנימית ושקיפות בתוך המפלגה ובמערכת הפוליטית",supporting,0.75,no,existing,ok,"דמוקרטיה, משילות ותיקון מוסדות המדינה",
D-006,deot,D01,"דמוקרטיה, שלטון החוק ואחריות ציבורית",נכונות להגביל כוח שלטוני גם כאשר הכוח נמצא בידי המחנה הקרוב אידיאולוגית,core,1.0,yes,existing,ok,"דמוקרטיה, משילות ותיקון מוסדות המדינה",
D-043,deot,D01,"דמוקרטיה, שלטון החוק ואחריות ציבורית","ראיית שבעה באוקטובר כאירוע שמחייב חשבון נפש מדינתי, מוסדי וחברתי עמוק",supporting,0.75,no,existing,ok,"שבעה באוקטובר, אחריות, חטופים וזיכרון לאומי",
D-044,deot,D01,"דמוקרטיה, שלטון החוק ואחריות ציבורית",תמיכה בוועדת חקירה ממלכתית ובאחריות אישית של הדרג המדיני והביטחוני,core,1.0,yes,existing,ok,"שבעה באוקטובר, אחריות, חטופים וזיכרון לאומי",
D-045,deot,D01,"דמוקרטיה, שלטון החוק ואחריות ציבורית",ראיית החטופים והמשפחות כסמל מוסרי מרכזי של אחריות המדינה לאזרחיה,review,0.6,no,existing,review,"שבעה באוקטובר, אחריות, חטופים וזיכרון לאומי",דורש בדיקה/דיוק ניסוח
D-046,deot,D01,"דמוקרטיה, שלטון החוק ואחריות ציבורית","התנגדות לשימוש פוליטי ציני בכאב של משפחות, נפגעים או קהילות שנפגעו במלחמה",supporting,0.75,no,existing,ok,"שבעה באוקטובר, אחריות, חטופים וזיכרון לאומי",
D-055,deot,D01,"דמוקרטיה, שלטון החוק ואחריות ציבורית",נכונות לפשרות פוליטיות רחבות כדי לשקם את המדינה גם במחיר ויתור אידיאולוגי חלקי,contextual,0.5,no,existing,ok,"סגנון פשרה, גבולות ויכולת הסכמה",
D-056,deot,D01,"דמוקרטיה, שלטון החוק ואחריות ציבורית",הצבת קווים אדומים ברורים שמעליהם אין מקום לפשרה עם יריבים פוליטיים,supporting,0.75,no,existing,ok,"סגנון פשרה, גבולות ויכולת הסכמה",
D-057,deot,D01,"דמוקרטיה, שלטון החוק ואחריות ציבורית",העדפה להסכמות רחבות ולאיטיות על פני מהלכים חדים ומהירים,contextual,0.5,no,existing,ok,"סגנון פשרה, גבולות ויכולת הסכמה",
D-058,deot,D01,"דמוקרטיה, שלטון החוק ואחריות ציבורית",העדפה למאבק חד וברור כאשר פשרה נתפסת ככניעה לכוחות אנטי־דמוקרטיים,core,1.0,yes,existing,ok,"סגנון פשרה, גבולות ויכולת הסכמה",
D-059,deot,D01,"דמוקרטיה, שלטון החוק ואחריות ציבורית",יכולת להבחין בין פשרה עניינית לבין טשטוש ערכי מסוכן,core,1.0,yes,existing,ok,"סגנון פשרה, גבולות ויכולת הסכמה",
D-060,deot,D01,"דמוקרטיה, שלטון החוק ואחריות ציבורית","נכונות לבנות קואליציות עתידיות עם גורמים שאינם שייכים למחנה הטבעי, אם הם מקבלים כללי משחק דמוקרטיים",core,1.0,yes,existing,ok,"סגנון פשרה, גבולות ויכולת הסכמה",
D-007,deot,D02,המאבק על ההגמוניה,ראיית מצביעי המחנה השני כיריבים פוליטיים לגיטימיים ולא כאויבים,supporting,0.75,no,existing,ok,יחס למחנה השני ויכולת גישור,
D-008,deot,D02,המאבק על ההגמוניה,הבחנה בין הנהגת המחנה השני לבין הציבור הרחב שתומך בה,supporting,0.75,no,existing,ok,יחס למחנה השני ויכולת גישור,
D-009,deot,D02,המאבק על ההגמוניה,אמונה שאפשר לבנות גשר מחודש בין המחנה הדמוקרטי־ליברלי לבין חלקים מהימין המסורתי,supporting,0.75,no,existing,ok,יחס למחנה השני ויכולת גישור,
D-010,deot,D02,המאבק על ההגמוניה,העדפה להכרעה פוליטית ברורה על פני פיוס מוקדם עם המחנה השני,review,0.6,no,existing,review,יחס למחנה השני ויכולת גישור,דורש בדיקה/דיוק ניסוח
D-011,deot,D02,המאבק על ההגמוניה,"נכונות לשיח עם דתיים, מסורתיים, חרדים וימנים גם כאשר קיימת מחלוקת ערכית עמוקה",supporting,0.75,no,existing,ok,יחס למחנה השני ויכולת גישור,
