id,ציר,קטגוריה,מספר_בקטגוריה,היגד,נושא_בחירה
D-001,דעות,"דמוקרטיה, משילות ותיקון מוסדות המדינה",1,"נטייה לתיקון חוקתי ומוסדי עמוק, ולא רק להחלפת ממשלה","הגנה על הדמוקרטיה, שלטון החוק וקווים אדומים"
D-002,דעות,"דמוקרטיה, משילות ותיקון מוסדות המדינה",2,ראיית המשבר הדמוקרטי כתוצאה של שיטה פוליטית פגומה ולא רק של אדם או ממשלה מסוימת,"הגנה על הדמוקרטיה, שלטון החוק וקווים אדומים"
D-003,דעות,"דמוקרטיה, משילות ותיקון מוסדות המדינה",3,נכונות למאבק ציבורי חריף כאשר מוסדות המדינה נתפסים כמאוימים,"הגנה על הדמוקרטיה, שלטון החוק וקווים אדומים"
D-004,דעות,"דמוקרטיה, משילות ותיקון מוסדות המדינה",4,"העדפה לשיקום ממלכתי, זהיר ומוסדי של המדינה לאחר המשבר","ממלכתיות, שקיפות ושירות ציבורי מקצועי"
D-005,דעות,"דמוקרטיה, משילות ותיקון מוסדות המדינה",5,"תמיכה בשיתוף ציבור, דמוקרטיה פנימית ושקיפות בתוך המפלגה ובמערכת הפוליטית","ממלכתיות, שקיפות ושירות ציבורי מקצועי"
D-006,דעות,"דמוקרטיה, משילות ותיקון מוסדות המדינה",6,נכונות להגביל כוח שלטוני גם כאשר הכוח נמצא בידי המחנה הקרוב אידיאולוגית,"הגנה על הדמוקרטיה, שלטון החוק וקווים אדומים"
D-007,דעות,יחס למחנה השני ויכולת גישור,1,ראיית מצביעי המחנה השני כיריבים פוליטיים לגיטימיים ולא כאויבים,גישור עם המחנה השני ובריתות רחבות
D-008,דעות,יחס למחנה השני ויכולת גישור,2,הבחנה בין הנהגת המחנה השני לבין הציבור הרחב שתומך בה,גישור עם המחנה השני ובריתות רחבות
D-009,דעות,יחס למחנה השני ויכולת גישור,3,אמונה שאפשר לבנות גשר מחודש בין המחנה הדמוקרטי־ליברלי לבין חלקים מהימין המסורתי,גישור עם המחנה השני ובריתות רחבות
D-010,דעות,יחס למחנה השני ויכולת גישור,4,העדפה להכרעה פוליטית ברורה על פני פיוס מוקדם עם המחנה השני,"הגנה על הדמוקרטיה, שלטון החוק וקווים אדומים"
D-011,דעות,יחס למחנה השני ויכולת גישור,5,"נכונות לשיח עם דתיים, מסורתיים, חרדים וימנים גם כאשר קיימת מחלוקת ערכית עמוקה",גישור עם המחנה השני ובריתות רחבות
D-012,דעות,יחס למחנה השני ויכולת גישור,6,ראיית חלק מהמחנה השני כשותף עתידי אפשרי לשיקום המדינה לאחר עידן נתניהו,גישור עם המחנה השני ובריתות רחבות
D-013,דעות,שסעים פנימיים בחברה היהודית,1,ראיית השסע העדתי והפריפריאלי כמרכיב מרכזי במשבר הפוליטי בישראל,תיקון השסעים בחברה היהודית
D-014,דעות,שסעים פנימיים בחברה היהודית,2,"נכונות לדבר עם מצביעים מזרחים, מסורתיים ופריפריאליים בשפה שאינה מתנשאת ואינה רק ליברלית־אשכנזית",תיקון השסעים בחברה היהודית
D-015,דעות,שסעים פנימיים בחברה היהודית,3,ראיית השסע הדתי־חילוני כאיום מרכזי על הלכידות של החברה היהודית בישראל,תיקון השסעים בחברה היהודית
D-016,דעות,שסעים פנימיים בחברה היהודית,4,"תמיכה בבניית ברית חדשה בין ליברלים, מסורתיים, דתיים מתונים ופריפריה חברתית",תיקון השסעים בחברה היהודית
D-017,דעות,שסעים פנימיים בחברה היהודית,5,"ביקורת על מחנה המרכז־שמאל כאשר הוא נתפס כמנותק, אליטיסטי או חסר רגישות לפריפריה",תיקון השסעים בחברה היהודית
D-018,דעות,שסעים פנימיים בחברה היהודית,6,העדפה לתיקון יחסי מרכז־פריפריה כחלק מבניית מחנה דמוקרטי רחב,תיקון השסעים בחברה היהודית
D-019,דעות,"מדינה יהודית ודמוקרטית, דת ומדינה",1,העדפה לזהות ישראלית שבה הרכיב הדמוקרטי קודם לרכיב הדתי־לאומי כאשר יש התנגשות ביניהם,"דת ומדינה, חירות אזרחית ושוויון חובות"
D-020,דעות,"מדינה יהודית ודמוקרטית, דת ומדינה",2,"העדפה לזהות ישראלית שבה היהדות היא מקור תרבותי וערכי, אך אינה צריכה לשלוט במוסדות המדינה","דת ומדינה, חירות אזרחית ושוויון חובות"
D-021,דעות,"מדינה יהודית ודמוקרטית, דת ומדינה",3,תמיכה בהפרדה ברורה יותר בין סמכות דתית לבין סמכות מדינתית,"דת ומדינה, חירות אזרחית ושוויון חובות"
D-022,דעות,"מדינה יהודית ודמוקרטית, דת ומדינה",4,נכונות לשמר מרכיבים יהודיים־מסורתיים במרחב הציבורי כדי לאפשר שותפות עם ציבור מסורתי ודתי,"דת ומדינה, חירות אזרחית ושוויון חובות"
D-023,דעות,"מדינה יהודית ודמוקרטית, דת ומדינה",5,"התנגדות לכפייה דתית בנושאי נישואין, שבת, חינוך, מעמד אישי או שירות ציבורי","דת ומדינה, חירות אזרחית ושוויון חובות"
D-024,דעות,"מדינה יהודית ודמוקרטית, דת ומדינה",6,"תמיכה בשוויון חובות אזרחיות בין קבוצות, כולל שאלת גיוס חרדים או שירות אזרחי","דת ומדינה, חירות אזרחית ושוויון חובות"
D-025,דעות,"הפרדה, גישור או שתי מדינות לעם היהודי",1,אמונה שהפער בין ישראל ליברלית לבין ישראל שמרנית־דתית עדיין ניתן לגישור פוליטי וחברתי,גישור עם המחנה השני ובריתות רחבות
D-026,דעות,"הפרדה, גישור או שתי מדינות לעם היהודי",2,"ראיית הפער בין המחנות כעמוק עד כדי צורך בהסדרים של אוטונומיה, ביזור או הפרדה חלקית",תיקון השסעים בחברה היהודית
