id,קטגוריה,היגד,prefix,btn_1,btn_2,btn_3,btn_4,נושא_בחירה
T-001,זהות וייצוג,המועמד מייצג את הקול הנשי בזירה הציבורית.,,,,,,זהות וייצוג
T-002,זהות וייצוג,"המועמד נתפס בציבור הרחב כמי שמבין חסמים ייחודיים של נשים בפוליטיקה, בעבודה ובחברה.",,,,,,זהות וייצוג
T-003,זהות וייצוג,המועמד נתפס בציבור הרחב כמי שנותן מקום מכבד לקבוצות מיעוט בחברה הישראלית.,,,,,,זהות וייצוג
T-004,זהות וייצוג,המועמד נתפס בציבור הרחב כמי שיכול לייצג את בני המיעוטים הלא יהודיים.,,,,,,זהות וייצוג
T-005,זהות וייצוג,המועמד נתפס בציבור הרחב כמי שמביא את קול הפריפריה או מבין לעומק את צרכיה.,,,,,,זהות וייצוג
T-006,זהות וייצוג,המועמד נתפס בציבור הרחב כמי שיכול לצמצם את הפער התדמיתי והמעשי בין המרכז לפריפריה.,,,,,,זהות וייצוג
T-007,זהות וייצוג,המועמד נתפס בציבור הרחב כמי שמביא גאווה בזהות מזרחית בלי להפוך אותה לשסע מפריד.,,,,,,זהות וייצוג
T-008,זהות וייצוג,המועמד נתפס בציבור הרחב כמי שמכבד זהות דתית ומסורתית בתוך מרחב דמוקרטי וליברלי.,,,,,,זהות וייצוג
T-009,זהות וייצוג,"המועמד נתפס בציבור הרחב כמי שיכול לגשר בין חילונים, מסורתיים ודתיים.",,,,,,זהות וייצוג
T-010,זהות וייצוג,המועמד נתפס בציבור הרחב כמי שנוכחותו ברשימה מרחיבה את תחושת הייצוג של קהלים מגוונים.,,,,,,זהות וייצוג
T-011,זהות וייצוג,המועמד נתפס בציבור הרחב כמי שמוסיף לרשימה עומק חברתי ולא רק ניסיון פוליטי או תקשורתי.,,,,,,זהות וייצוג
T-012,ממלכתיות ואחריות,המועמד נתפס בציבור הרחב כבעל עמוד שדרה ערכי.,,,,,,ממלכתיות ואחריות
T-013,ממלכתיות ואחריות,המועמד נתפס בציבור הרחב כדמות ממלכתית ואחראית.,,,,,,ממלכתיות ואחריות
T-014,ממלכתיות ואחריות,המועמד נתפס בציבור הרחב כמי שמכבד מוסדות מדינה ושלטון חוק.,,,,,,ממלכתיות ואחריות
T-015,ממלכתיות ואחריות,המועמד נתפס בציבור הרחב כמי שמסוגל לפעול מתוך שיקול דעת ולא רק מתוך כעס.,,,,,,ממלכתיות ואחריות
T-016,"יושרה, אמינות וניסיון",המועמד נתפס בציבור הרחב כמי שפועל מתוך שליחות ולא רק מתוך קריירה.,,,,,,יושרה ואמינות
T-017,"יושרה, אמינות וניסיון",המועמד נתפס בציבור הרחב כאדם אמין וישר.,,,,,,יושרה ואמינות
T-018,"יושרה, אמינות וניסיון",המועמד נתפס בציבור הרחב כדמות רצינית ולא כגימיק תקשורתי.,,,,,,יושרה ואמינות
T-019,"יושרה, אמינות וניסיון",המועמד נתפס בציבור הרחב כמי שאפשר לסמוך עליו בתפקיד ציבורי.,,,,,,יושרה ואמינות
T-020,"יושרה, אמינות וניסיון",המועמד נתפס בציבור הרחב כבעל ניסיון ציבורי משמעותי.,,,,,,יושרה ואמינות
T-021,"יושרה, אמינות וניסיון",המועמד נתפס בציבור הרחב כמי שמבין איך פועלת מערכת פוליטית.,,,,,,יושרה ואמינות
T-022,תקשורתיות ונראות,המועמד נתפס בציבור הרחב כדמות תקשורתית חזקה.,,,,,,תקשורתיות ונראות
T-023,תקשורתיות ונראות,המועמד נתפס בציבור הרחב כמי שיודע להעביר מסר ברור.,,,,,,תקשורתיות ונראות
T-024,תקשורתיות ונראות,המועמד נתפס בציבור הרחב כמי שמסוגל לבלוט בקמפיין בחירות.,,,,,,תקשורתיות ונראות
T-025,תקשורתיות ונראות,המועמד נתפס בציבור הרחב כמי שמביא ייצוג חשוב לרשימה.,,,,,,תקשורתיות ונראות
T-026,תקשורתיות ונראות,המועמד נתפס בציבור הרחב כמי שמרחיב את הדימוי של המפלגה.,,,,,,תקשורתיות ונראות
T-027,אותנטיות וסיפור אישי,המועמד נתפס בציבור הרחב כמי שפועל מתוך שליחות ולא רק מתוך קריירה.,,,,,,אותנטיות וסיפור אישי
