id,ציר,קטגוריה,מספר_בקטגוריה,היגד,prefix,btn_1,btn_2,btn_3,btn_4,נושא_בחירה
cap_001,יכולות,"מומחיות מדינית, ביטחונית וממשלית",1,ניסיון ישיר במערכות מדינה בכירות או במוקדי קבלת החלטות,נדרש,,,,,"מומחיות מדינית, ביטחונית וממשלית"
cap_002,יכולות,"מומחיות מדינית, ביטחונית וממשלית",2,"הבנה מוכחת של סוגיות מדיניות, ביטחוניות ואזוריות מורכבות",נדרשת,,,,,"מומחיות מדינית, ביטחונית וממשלית"
cap_003,יכולות,"מומחיות מדינית, ביטחונית וממשלית",3,"ניסיון במשא ומתן, דיאלוג אסטרטגי או קשרים בינלאומיים",נדרש,,,,,"מומחיות מדינית, ביטחונית וממשלית"
cap_004,יכולות,"מומחיות מדינית, ביטחונית וממשלית",4,"ניסיון צבאי, מודיעיני או ביטחוני בעל רלוונטיות לעבודה ציבורית",נדרש,,,,,"מומחיות מדינית, ביטחונית וממשלית"
cap_005,יכולות,"מומחיות מדינית, ביטחונית וממשלית",5,יכולת לגבש תפיסה מדינית־ביטחונית סדורה ולא רק עמדה ערכית כללית,נדרשת,,,,,"מומחיות מדינית, ביטחונית וממשלית"
cap_006,יכולות,"מומחיות מדינית, ביטחונית וממשלית",6,יכולת לחבר בין יעדים ביטחוניים לבין יעדים מדיניים ארוכי טווח,נדרשת,,,,,"מומחיות מדינית, ביטחונית וממשלית"
cap_007,יכולות,"ארגון, ניהול וביצוע",1,"ניסיון בהקמה וניהול של ארגונים, חברות, תנועות או מטות פעולה",נדרש,,,,,"ארגון, ניהול וביצוע"
cap_008,יכולות,"ארגון, ניהול וביצוע",2,"יכולת להוביל צוותים, תקציבים, קהילות או מערכות מורכבות",נדרשת,,,,,"ארגון, ניהול וביצוע"
cap_009,יכולות,"ארגון, ניהול וביצוע",3,הובלת מאבקים ציבוריים שהניבו תוצאות ממשיות,,,,,,"ארגון, ניהול וביצוע"
cap_010,יכולות,"ארגון, ניהול וביצוע",4,יכולת להפוך רעיון כללי לתשתית פעולה מתמשכת,,,,,,"ארגון, ניהול וביצוע"
cap_011,יכולות,"ארגון, ניהול וביצוע",5,"ניסיון בניהול משברים ציבוריים, פוליטיים או ארגוניים",,,,,,"ארגון, ניהול וביצוע"
