מועמד,קטגוריה,סגנון,סגנון_ביטחון,תפקיד_מאבק,תפקיד_חקיקה,תפקיד_חיבור,מספר_נושא,נושא,עמדות_ציון,עמדות_ביטחון,ביצוע_ציון,ביצוע_ביטחון,תדמית_ציון,תדמית_ביטחון,עוגן
אפרת רייטן,נשים,ממלכתי ואחראי,בינוני,4,9,5,1,"דמוקרטיה, שלטון החוק ואחריות ציבורית",9,95,9,95,9,95,חברות הוועדה לבחירת שופטים
אפרת רייטן,נשים,ממלכתי ואחראי,בינוני,4,9,5,2,איחוי החברה וסולידריות אזרחית,8,85,9,95,9,90,ייצוג משפחות אסון צפית
אפרת רייטן,נשים,ממלכתי ואחראי,בינוני,4,9,5,3,שוויון זכויות והזדמנויות,9,90,9,95,9,90,"יו""ר ועדת העבודה והרווחה"
אפרת רייטן,נשים,ממלכתי ואחראי,בינוני,4,9,5,4,"שוויון בנטל, גיוס ושירות אזרחי",8,80,8,85,8,80,הצבעות מליאה נגד פטור
אפרת רייטן,נשים,ממלכתי ואחראי,בינוני,4,9,5,5,שותפות יהודית־ערבית ושוויון אזרחי,7,60,6,50,6,50,תמיכה בתקציבי החברה הערבית
אפרת רייטן,נשים,ממלכתי ואחראי,בינוני,4,9,5,6,"ביטחון, פלסטינים והחזון המדיני",6,50,,,,,חוסר עשייה אישית מובהקת
אפרת רייטן,נשים,ממלכתי ואחראי,בינוני,4,9,5,7,"חינוך, אזרחות וליבה משותפת",8,80,7,75,9,90,ועדות נוער; עבר בערוץ הילדים
אפרת רייטן,נשים,ממלכתי ואחראי,בינוני,4,9,5,8,"חברה, כלכלה, רווחה ופריפריה",9,95,9,95,9,90,חקיקת רווחה בוועדת העבודה
אפרת רייטן,נשים,ממלכתי ואחראי,בינוני,4,9,5,9,יחסי דת ומדינה וחופש אזרחי,8,85,8,85,8,85,הצבעות התנגדות לחקיקה דתית
אפרת רייטן,נשים,ממלכתי ואחראי,בינוני,4,9,5,10,תקשורת אמת ואוריינות דיגיטלית,,,,,,,
אפרת רייטן,נשים,ממלכתי ואחראי,בינוני,4,9,5,11,"תרבות, מדע ופרויקטים לאומיים מאחדים",9,90,9,95,10,95,"שחקנית עבר, סיוע לאומנים"
