מועמד,קטגוריה,סגנון,סגנון_ביטחון,תפקיד_מאבק,תפקיד_חקיקה,תפקיד_חיבור,מספר_נושא,נושא,עמדות_ציון,עמדות_ביטחון,ביצוע_ציון,ביצוע_ביטחון,תדמית_ציון,תדמית_ביטחון,עוגן
אפרת רייטן,,,,,,,1,"דמוקרטיה, שלטון החוק ואחריות ציבורית",,,,,,,
אפרת רייטן,,,,,,,2,איחוי החברה וסולידריות אזרחית,,,,,,,
אפרת רייטן,,,,,,,3,שוויון זכויות והזדמנויות,,,,,,,
אפרת רייטן,,,,,,,4,"שוויון בנטל, גיוס ושירות אזרחי",,,,,,,
אפרת רייטן,,,,,,,5,שותפות יהודית־ערבית ושוויון אזרחי,,,,,,,
אפרת רייטן,,,,,,,6,"ביטחון, פלסטינים והחזון המדיני",,,,,,,
אפרת רייטן,,,,,,,7,"חינוך, אזרחות וליבה משותפת",,,,,,,
אפרת רייטן,,,,,,,8,"חברה, כלכלה, רווחה ופריפריה",,,,,,,
אפרת רייטן,,,,,,,9,יחסי דת ומדינה וחופש אזרחי,,,,,,,
אפרת רייטן,,,,,,,10,תקשורת אמת ואוריינות דיגיטלית,,,,,,,
אפרת רייטן,,,,,,,11,"תרבות, מדע ופרויקטים לאומיים מאחדים",,,,,,,
אפרת רייטן,,,,,,,12,"סביבה, אקלים ומרחב חיים",,,,,,,
נעמה לזימי,,,,,,,1,"דמוקרטיה, שלטון החוק ואחריות ציבורית",,,,,,,
נעמה לזימי,,,,,,,2,איחוי החברה וסולידריות אזרחית,,,,,,,
נעמה לזימי,,,,,,,3,שוויון זכויות והזדמנויות,,,,,,,
נעמה לזימי,,,,,,,4,"שוויון בנטל, גיוס ושירות אזרחי",,,,,,,
נעמה לזימי,,,,,,,5,שותפות יהודית־ערבית ושוויון אזרחי,,,,,,,
נעמה לזימי,,,,,,,6,"ביטחון, פלסטינים והחזון המדיני",,,,,,,
נעמה לזימי,,,,,,,7,"חינוך, אזרחות וליבה משותפת",,,,,,,
נעמה לזימי,,,,,,,8,"חברה, כלכלה, רווחה ופריפריה",,,,,,,
נעמה לזימי,,,,,,,9,יחסי דת ומדינה וחופש אזרחי,,,,,,,
נעמה לזימי,,,,,,,10,תקשורת אמת ואוריינות דיגיטלית,,,,,,,
נעמה לזימי,,,,,,,11,"תרבות, מדע ופרויקטים לאומיים מאחדים",,,,,,,
נעמה לזימי,,,,,,,12,"סביבה, אקלים ומרחב חיים",,,,,,,
אמילי מואטי,,,,,,,1,"דמוקרטיה, שלטון החוק ואחריות ציבורית",,,,,,,
אמילי מואטי,,,,,,,2,איחוי החברה וסולידריות אזרחית,,,,,,,
אמילי מואטי,,,,,,,3,שוויון זכויות והזדמנויות,,,,,,,
אמילי מואטי,,,,,,,4,"שוויון בנטל, גיוס ושירות אזרחי",,,,,,,
אמילי מואטי,,,,,,,5,שותפות יהודית־ערבית ושוויון אזרחי,,,,,,,
