מועמד,קטגוריה,סגנון,סגנון_ביטחון,תפקיד_מאבק,תפקיד_חקיקה,תפקיד_חיבור,נושאים_מכוסים,ממוצע_עמדות,תחומי_חוזק_בולטים
אפרת רייטן,נשים,ממלכתי ואחראי,בינוני,4,9,5,10/12,8.1,"תרבות/מדע, שוויון זכויות, כלכלה/רווחה"
נעמה לזימי,נשים,לוחם וברור,גבוה,7,9,4,10/12,8.5,"שוויון זכויות, כלכלה/רווחה, שותפות יו""ע"
אמילי מואטי,נשים,שילוב,נמוך,4,6,6,7/12,8.4,"שותפות יו""ע, דמוקרטיה, ביטחון/מדיני"
קטי פיאסצקי,נשים,לוחם וברור,נמוך,6,5,5,7/12,8.7,"דת ומדינה, שוויון זכויות, סביבה"
מיכל רוזין,נשים,לוחם וברור,בינוני,5,9,5,7/12,8.9,"שוויון זכויות, שותפות יו""ע, כלכלה/רווחה"
מורן זר כצשטיין,נשים,לוחם וברור,גבוה,9,2,5,7/12,8.9,"שוויון זכויות, דת ומדינה, דמוקרטיה"
מהרטה ברוך רון,נשים,ממלכתי ואחראי,בינוני,4,7,7,6/12,8.2,"שוויון זכויות, כלכלה/רווחה, חינוך"
הדס רגולסקי,נשים,לוחם וברור,נמוך,8,3,5,6/12,9.0,"שוויון זכויות, דת ומדינה, שוויון בנטל"
גבי לסקי,נשים,לוחם וברור,בינוני,7,7,5,6/12,9.2,"שותפות יו""ע, ביטחון/מדיני, שוויון זכויות"
יעל כהן-פארן,נשים,ממלכתי ואחראי,בינוני,5,7,5,6/12,8.2,"סביבה, שוויון זכויות, כלכלה/רווחה"
מורן מישל,נשים,לוחם וברור,נמוך-בינוני,8,2,4,5/12,8.6,"תרבות/מדע, תקשורת, שוויון זכויות"
ענבר בזק,נשים,ממלכתי ואחראי,בינוני,4,7,6,5/12,8.2,"כלכלה/רווחה, דמוקרטיה, תקשורת"
ענבל וורטמן שוהם,נשים,לוחם וברור,בינוני,9,1,4,4/12,8.3,"תרבות/מדע, דמוקרטיה, תקשורת"
לי הופמן אגיב,נשים,לוחם וברור,נמוך,8,2,4,3/12,9.3,"שוויון זכויות, דת ומדינה, דמוקרטיה"
רותם סיון הופמן,נשים,ממלכתי ואחראי,בינוני,2,3,5,2/12,,"תרבות/מדע, כלכלה/רווחה"
חן אריאלי,נשים,,,,,,0/12,,—
יאיא פינק,גברים,לוחם וברור,נמוך,8,3,5,10/12,8.3,"תקשורת, שותפות יו""ע, שוויון בנטל"
יריב אופנהימר,גברים,לוחם וברור,גבוה,8,3,6,9/12,8.4,"ביטחון/מדיני, שותפות יו""ע, דמוקרטיה"
אבי דבוש,גברים,מגשר ורגוע,בינוני,5,4,8,8/12,9.2,"שותפות יו""ע, כלכלה/רווחה, שוויון זכויות"
מוסי רז,גברים,שילוב,בינוני,7,8,7,8/12,9.0,"שותפות יו""ע, סביבה, ביטחון/מדיני"
גלעד קריב,גברים,שילוב,בינוני,6,9,5,8/12,8.2,"דת ומדינה, שוויון זכויות, דמוקרטיה"
נאור נרקיס,גברים,לוחם וברור,גבוה,9,2,2,7/12,8.3,"דת ומדינה, שוויון בנטל, חינוך"
רם שפע,גברים,ממלכתי ואחראי,נמוך-בינוני,4,8,5,7/12,7.9,"חינוך, דמוקרטיה, תרבות/מדע"
נמרוד שפר,גברים,ממלכתי ואחראי,גבוה,5,6,4,6/12,8.2,"ביטחון/מדיני, תרבות/מדע, כלכלה/רווחה"
רונן צור,גברים,לוחם וברור,גבוה,10,3,2,6/12,8.0,"דמוקרטיה, ביטחון/מדיני, שוויון בנטל"
משה רדמן,גברים,לוחם וברור,בינוני,9,2,4,5/12,9.4,"תקשורת, שוויון בנטל, דמוקרטיה"
ערן עציון,גברים,ממלכתי ואחראי,גבוה,5,7,4,5/12,8.4,"תקשורת, דמוקרטיה, ביטחון/מדיני"
דני אלגרט,גברים,לוחם וברור,גבוה,9,1,3,4/12,8.5,"תקשורת, ביטחון/מדיני, איחוי"
תומר אביטל,גברים,לוחם וברור,בינוני,9,3,3,4/12,9.0,"תקשורת, דמוקרטיה, סביבה"
יאיר רובינשטיין,גברים,,,,,,0/12,,—
אמיר חניפס,בני מיעוטים,לוחם וברור,נמוך-בינוני,7,3,8,7/12,8.7,"שוויון זכויות, שותפות יו""ע, דמוקרטיה"
עלי סלאלחה,בני מיעוטים,ממלכתי ואחראי,בינוני,5,6,6,7/12,9.1,"שוויון זכויות, חינוך, שותפות יו""ע"
מאלק בדר,בני מיעוטים,מגשר ורגוע,נמוך-בינוני,6,4,7,5/12,8.8,"שותפות יו""ע, שוויון זכויות, שוויון בנטל"
גאלב סלאמנה,בני מיעוטים,,,,,,0/12,,—
עאיד בדיר,בני מיעוטים,,,,,,0/12,,—
איהאב שליאן,בני מיעוטים,,,,,,0/12,,—
נדאל מסאלחה,בני מיעוטים,,,,,,0/12,,—
סומיה בשיר,בני מיעוטים,,,,,,0/12,,—
אומיימה חאמד,בני מיעוטים,,,,,,0/12,,—
אבתיסאם מראענה-מנוחין,לא רלוונטי,שילוב,—,6,5,6,7/12,7.9,"תרבות/מדע, שותפות יו""ע, ביטחון/מדיני"
אורי זכי,לא רלוונטי,שילוב,—,8,3,3,6/12,9.0,"ביטחון/מדיני, תקשורת, שותפות יו""ע"
איילת השחר סיידוף,לא רלוונטי,שילוב,—,8,4,3,4/12,8.8,"שוויון בנטל, דת ומדינה, שוויון זכויות"
נאווה רוזוליו,לא רלוונטי,שילוב,—,9,2,3,1/12,10.0,דמוקרטיה
