statement_id,axis,topic_code,topic,statement_text,statement_role,statement_weight,is_core,source_status,review_status,notes
cap_001,yecholot,Y01,"מומחיות מדינית, ביטחונית וממשלית","ניסיון ישיר במערכות מדינה בכירות או במוקדי קבלת החלטות",supporting,0.75,no,existing,ok,
cap_002,yecholot,Y01,"מומחיות מדינית, ביטחונית וממשלית","הבנה מוכחת של סוגיות מדיניות, ביטחוניות ואזוריות מורכבות",supporting,0.75,no,existing,ok,
cap_003,yecholot,Y01,"מומחיות מדינית, ביטחונית וממשלית","ניסיון במשא ומתן, דיאלוג אסטרטגי או קשרים בינלאומיים",supporting,0.75,no,existing,ok,
cap_004,yecholot,Y01,"מומחיות מדינית, ביטחונית וממשלית","ניסיון צבאי, מודיעיני או ביטחוני בעל רלוונטיות לעבודה ציבורית",supporting,0.75,no,existing,ok,
cap_005,yecholot,Y01,"מומחיות מדינית, ביטחונית וממשלית","יכולת לגבש תפיסה מדינית־ביטחונית סדורה ולא רק עמדה ערכית כללית",supporting,0.75,no,existing,ok,
cap_006,yecholot,Y01,"מומחיות מדינית, ביטחונית וממשלית","יכולת לחבר בין יעדים ביטחוניים לבין יעדים מדיניים ארוכי טווח",supporting,0.75,no,existing,ok,
cap_007,yecholot,Y02,"ארגון, ניהול וביצוע","ניסיון בהקמה וניהול של ארגונים, חברות, תנועות או מטות פעולה",supporting,0.75,no,existing,ok,
cap_008,yecholot,Y02,"ארגון, ניהול וביצוע","יכולת להוביל צוותים, תקציבים, קהילות או מערכות מורכבות",supporting,0.75,no,existing,ok,
cap_009,yecholot,Y02,"ארגון, ניהול וביצוע","הובלת מאבקים ציבוריים שהניבו תוצאות ממשיות",supporting,0.75,no,existing,ok,
cap_010,yecholot,Y02,"ארגון, ניהול וביצוע","יכולת להפוך רעיון כללי לתשתית פעולה מתמשכת",supporting,0.75,no,existing,ok,
cap_011,yecholot,Y02,"ארגון, ניהול וביצוע","ניסיון בניהול משברים ציבוריים, פוליטיים או ארגוניים",supporting,0.75,no,existing,ok,
cap_012,yecholot,Y02,"ארגון, ניהול וביצוע","מוכנות לקחת אחריות אישית גבוהה על מהלך ציבורי או ארגוני",supporting,0.75,no,existing,ok,
cap_013,yecholot,Y03,"חקיקה, פוליטיקה ומוסדות","ניסיון בעבודה פרלמנטרית, ועדות כנסת, חקיקה או הצעות חוק",supporting,0.75,no,existing,ok,
cap_014,yecholot,Y03,"חקיקה, פוליטיקה ומוסדות","היכרות מעשית עם מנגנוני מפלגות, פריימריז, רשימות וקואליציות",supporting,0.75,no,existing,ok,
cap_015,yecholot,Y03,"חקיקה, פוליטיקה ומוסדות","יכולת לפעול בתוך מוסדות קיימים ולא רק מחוץ להם",supporting,0.75,no,existing,ok,
cap_016,yecholot,Y03,"חקיקה, פוליטיקה ומוסדות","ניסיון בבניית תנועה פוליטית, מפלגה או אלטרנטיבה שלטונית",supporting,0.75,no,existing,ok,
cap_017,yecholot,Y03,"חקיקה, פוליטיקה ומוסדות","יכולת לייצר שיתופי פעולה בין זרמים, מפלגות או קבוצות אינטרס",supporting,0.75,no,existing,ok,
cap_018,yecholot,Y03,"חקיקה, פוליטיקה ומוסדות","יכולת לתרגם עמדות אידיאולוגיות לפעולות מוסדיות או חקיקתיות",supporting,0.75,no,existing,ok,
cap_019,yecholot,Y04,"תקשורת, הסברה והשפעה ציבורית","יכולת ליצור מסרים חדים, ברורים וזכירים",supporting,0.75,no,existing,ok,
cap_020,yecholot,Y04,"תקשורת, הסברה והשפעה ציבורית","יכולת לייצר תוכן דיגיטלי, ויראלי או תקשורתי שמגיע לקהלים רחבים",supporting,0.75,no,existing,ok,
cap_021,yecholot,Y04,"תקשורת, הסברה והשפעה ציבורית","ניסיון בהופעה ציבורית, ראיונות, פודקאסטים, קולנוע, כתיבה או הרצאות",supporting,0.75,no,existing,ok,
cap_022,yecholot,Y04,"תקשורת, הסברה והשפעה ציבורית","יכולת להסביר נושאים מורכבים בשפה נגישה ולא טכנוקרטית",supporting,0.75,no,existing,ok,
cap_023,yecholot,Y04,"תקשורת, הסברה והשפעה ציבורית","יכולת לנהל מאבק תודעתי מול יריבים פוליטיים או תקשורתיים",supporting,0.75,no,existing,ok,
cap_024,yecholot,Y04,"תקשורת, הסברה והשפעה ציבורית","יכולת להפוך סיפור אישי או ערכי לכלי גיוס ציבורי",supporting,0.75,no,existing,ok,
cap_025,yecholot,Y05,"חיבור בין קהלים ועולמות","יכולת לחבר בין יהודים לערבים בתוך מסגרת פוליטית או אזרחית משותפת",supporting,0.75,no,existing,ok,
cap_026,yecholot,Y05,"חיבור בין קהלים ועולמות","יכולת לחבר בין שמאל ליברלי לבין פריפריה מזרחית, מסורתית או גיאוגרפית",supporting,0.75,no,existing,ok,
cap_027,yecholot,Y05,"חיבור בין קהלים ועולמות","יכולת לחבר בין עולם המחאה לבין עבודה מפלגתית ומוסדית",supporting,0.75,no,existing,ok,
cap_028,yecholot,Y05,"חיבור בין קהלים ועולמות","יכולת לחבר בין היי־טק, חדשנות ודיגיטל לבין פוליטיקה ציבורית",supporting,0.75,no,existing,ok,
cap_029,yecholot,Y05,"חיבור בין קהלים ועולמות","יכולת לחבר בין שפה מקצועית־ביטחונית לבין שפה אזרחית וערכית",supporting,0.75,no,existing,ok,
cap_030,yecholot,Y05,"חיבור בין קהלים ועולמות","אמינות מול קהילות שטח ולא רק מול קהל תקשורתי או אליטיסטי",supporting,0.75,no,existing,ok,
cap_031,yecholot,Y06,"חדשנות, למידה ושיתוף ציבור","שימוש בטכנולוגיה, מידע או כלים דיגיטליים לשיתוף ציבור וארגון פוליטי",supporting,0.75,no,existing,ok,
cap_032,yecholot,Y06,"חדשנות, למידה ושיתוף ציבור","חשיבה מערכתית שמזהה קשרים בין משבר פוליטי, כלכלה, ביטחון וחברה",supporting,0.75,no,existing,ok,
cap_033,yecholot,Y06,"חדשנות, למידה ושיתוף ציבור","יזמות בפתרונות לא שגרתיים לבעיות פוליטיות או חברתיות",supporting,0.75,no,existing,ok,
cap_034,yecholot,Y06,"חדשנות, למידה ושיתוף ציבור","יכולת ללמוד תחומים חדשים ולהפוך אותם לשפה ציבורית ברורה",supporting,0.75,no,existing,ok,
cap_035,yecholot,Y06,"חדשנות, למידה ושיתוף ציבור","שילוב בין ידע מקצועי, ניסיון אישי וערכים פוליטיים",supporting,0.75,no,existing,ok,
cap_036,yecholot,Y06,"חדשנות, למידה ושיתוף ציבור","פתיחות לניסויים ארגוניים ודמוקרטיים חדשים ולא רק לשיטות פוליטיות קיימות",supporting,0.75,no,existing,ok,
