"candidate_id","axis","category","statement_id","statement_text","value","source","confidence","justification"
"איילת השחר סיידוף","דעות","דמוקרטיה, משילות ותיקון מוסדות המדינה","D-001","נטייה לתיקון חוקתי ומוסדי עמוק, ולא רק להחלפת ממשלה","supports","https://hagush.org.il/candidates.html; https://www.ynet.co.il/news/article/bkl4uet2bl; https://www.israelhayom.co.il/news/politics/article/14643397; https://he.wikipedia.org/wiki/%D7%90%D7%99%D7%9E%D7%94%D7%95%D7%AA_%D7%91%D7%97%D7%96%D7%99%D7%AA; https://e.democrats.org.il/Democrats_OpenHouses/260416","70","השתתפות בנושא חוקה וארבע הרשויות ומאבק לשוויון חוקתי מצביעים על נטייה לתיקון מוסדי."
"איילת השחר סיידוף","דעות","דמוקרטיה, משילות ותיקון מוסדות המדינה","D-002","ראיית המשבר הדמוקרטי כתוצאה של שיטה פוליטית פגומה ולא רק של אדם או ממשלה מסוימת","mixed","https://hagush.org.il/candidates.html; https://www.ynet.co.il/news/article/bkl4uet2bl; https://www.israelhayom.co.il/news/politics/article/14643397; https://he.wikipedia.org/wiki/%D7%90%D7%99%D7%9E%D7%94%D7%95%D7%AA_%D7%91%D7%97%D7%96%D7%99%D7%AA; https://e.democrats.org.il/Democrats_OpenHouses/260416","55","העיסוק המרכזי הוא כשל מוסדי סביב גיוס ושוויון; אין מצע רחב על כלל השיטה הפוליטית."
"איילת השחר סיידוף","דעות","דמוקרטיה, משילות ותיקון מוסדות המדינה","D-003","נכונות למאבק ציבורי חריף כאשר מוסדות המדינה נתפסים כמאוימים","supports","https://hagush.org.il/candidates.html; https://www.ynet.co.il/news/article/bkl4uet2bl; https://www.israelhayom.co.il/news/politics/article/14643397; https://he.wikipedia.org/wiki/%D7%90%D7%99%D7%9E%D7%94%D7%95%D7%AA_%D7%91%D7%97%D7%96%D7%99%D7%AA; https://e.democrats.org.il/Democrats_OpenHouses/260416","90","פעילותה כוללת מחאה ציבורית, עתירות, הופעות בכנסת ובג״ץ סביב איום נתפס על שוויון וזכויות משרתים."
"איילת השחר סיידוף","דעות","דמוקרטיה, משילות ותיקון מוסדות המדינה","D-004","העדפה לשיקום ממלכתי, זהיר ומוסדי של המדינה לאחר המשבר","mixed","https://hagush.org.il/candidates.html; https://www.ynet.co.il/news/article/bkl4uet2bl; https://www.israelhayom.co.il/news/politics/article/14643397; https://he.wikipedia.org/wiki/%D7%90%D7%99%D7%9E%D7%94%D7%95%D7%AA_%D7%91%D7%97%D7%96%D7%99%D7%AA; https://e.democrats.org.il/Democrats_OpenHouses/260416","55","יש חתירה לתיקון מוסדי, אך הסגנון הציבורי חריף ולא בעיקר ממלכתי־זהיר."
"איילת השחר סיידוף","דעות","דמוקרטיה, משילות ותיקון מוסדות המדינה","D-005","תמיכה בשיתוף ציבור, דמוקרטיה פנימית ושקיפות בתוך המפלגה ובמערכת הפוליטית","unknown","לא נמצא מקור מספיק","0","לא נמצא מקור מספיק לעמדה על דמוקרטיה פנימית ושיתוף ציבור בתוך מפלגות."
"איילת השחר סיידוף","דעות","דמוקרטיה, משילות ותיקון מוסדות המדינה","D-006","נכונות להגביל כוח שלטוני גם כאשר הכוח נמצא בידי המחנה הקרוב אידיאולוגית","supports","https://hagush.org.il/candidates.html; https://www.ynet.co.il/news/article/bkl4uet2bl; https://www.israelhayom.co.il/news/politics/article/14643397; https://he.wikipedia.org/wiki/%D7%90%D7%99%D7%9E%D7%94%D7%95%D7%AA_%D7%91%D7%97%D7%96%D7%99%D7%AA; https://e.democrats.org.il/Democrats_OpenHouses/260416","72","המאבק דורש אכיפת שוויון וחוק גם מול החלטות ממשלה ומול קבוצות כוח פוליטיות."
"איילת השחר סיידוף","דעות","יחס למחנה השני ויכולת גישור","D-007","ראיית מצביעי המחנה השני כיריבים פוליטיים לגיטימיים ולא כאויבים","mixed","https://hagush.org.il/candidates.html; https://www.ynet.co.il/news/article/bkl4uet2bl; https://www.israelhayom.co.il/news/politics/article/14643397; https://he.wikipedia.org/wiki/%D7%90%D7%99%D7%9E%D7%94%D7%95%D7%AA_%D7%91%D7%97%D7%96%D7%99%D7%AA; https://e.democrats.org.il/Democrats_OpenHouses/260416","58","היא מציינת שאינה שונאת חרדים וישבה עם בני ישיבות, אך מאבקה מנוסח לעיתים בעימות חריף."
"איילת השחר סיידוף","דעות","יחס למחנה השני ויכולת גישור","D-008","הבחנה בין הנהגת המחנה השני לבין הציבור הרחב שתומך בה","supports","https://hagush.org.il/candidates.html; https://www.ynet.co.il/news/article/bkl4uet2bl; https://www.israelhayom.co.il/news/politics/article/14643397; https://he.wikipedia.org/wiki/%D7%90%D7%99%D7%9E%D7%94%D7%95%D7%AA_%D7%91%D7%97%D7%96%D7%99%D7%AA; https://e.democrats.org.il/Democrats_OpenHouses/260416","62","הבחנה מסוימת קיימת בין הציבור החרדי לבין הנהגה ומנגנוני פטור, אך לא כקו מרכזי מפורט."
"איילת השחר סיידוף","דעות","יחס למחנה השני ויכולת גישור","D-009","אמונה שאפשר לבנות גשר מחודש בין המחנה הדמוקרטי־ליברלי לבין חלקים מהימין המסורתי","mixed","https://hagush.org.il/candidates.html; https://www.ynet.co.il/news/article/bkl4uet2bl; https://www.israelhayom.co.il/news/politics/article/14643397; https://he.wikipedia.org/wiki/%D7%90%D7%99%D7%9E%D7%94%D7%95%D7%AA_%D7%91%D7%97%D7%96%D7%99%D7%AA; https://e.democrats.org.il/Democrats_OpenHouses/260416","50","יש ניסיון לדבר עם חרדים ובני ישיבות, אך אין מקור מספיק לחיבור ימין מסורתי רחב."
"איילת השחר סיידוף","דעות","יחס למחנה השני ויכולת גישור","D-010","העדפה להכרעה פוליטית ברורה על פני פיוס מוקדם עם המחנה השני","mixed","https://hagush.org.il/candidates.html; https://www.ynet.co.il/news/article/bkl4uet2bl; https://www.israelhayom.co.il/news/politics/article/14643397; https://he.wikipedia.org/wiki/%D7%90%D7%99%D7%9E%D7%94%D7%95%D7%AA_%D7%91%D7%97%D7%96%D7%99%D7%AA; https://e.democrats.org.il/Democrats_OpenHouses/260416","60","סגנון המחאה מעדיף הכרעה בסוגיית השוויון בגיוס, אך לא נמצא ניסוח עקרוני נגד פיוס."
