candidate_id,axis,category,statement_id,statement_text,value,source,confidence,justification
אמילי_מואטי,דעות,"דמוקרטיה, משילות ותיקון מוסדות המדינה",D-001,"נטייה לתיקון חוקתי ומוסדי עמוק, ולא רק להחלפת ממשלה",,,,
אמילי_מואטי,דעות,"דמוקרטיה, משילות ותיקון מוסדות המדינה",D-002,ראיית המשבר הדמוקרטי כתוצאה של שיטה פוליטית פגומה ולא רק של אדם או ממשלה מסוימת,,,,
אמילי_מואטי,דעות,"דמוקרטיה, משילות ותיקון מוסדות המדינה",D-003,נכונות למאבק ציבורי חריף כאשר מוסדות המדינה נתפסים כמאוימים,,,,
אמילי_מואטי,דעות,"דמוקרטיה, משילות ותיקון מוסדות המדינה",D-004,"העדפה לשיקום ממלכתי, זהיר ומוסדי של המדינה לאחר המשבר",,,,
אמילי_מואטי,דעות,"דמוקרטיה, משילות ותיקון מוסדות המדינה",D-005,"תמיכה בשיתוף ציבור, דמוקרטיה פנימית ושקיפות בתוך המפלגה ובמערכת הפוליטית",,,,
אמילי_מואטי,דעות,"דמוקרטיה, משילות ותיקון מוסדות המדינה",D-006,נכונות להגביל כוח שלטוני גם כאשר הכוח נמצא בידי המחנה הקרוב אידיאולוגית,,,,
אמילי_מואטי,דעות,יחס למחנה השני ויכולת גישור,D-007,ראיית מצביעי המחנה השני כיריבים פוליטיים לגיטימיים ולא כאויבים,,,,
אמילי_מואטי,דעות,יחס למחנה השני ויכולת גישור,D-008,הבחנה בין הנהגת המחנה השני לבין הציבור הרחב שתומך בה,,,,
אמילי_מואטי,דעות,יחס למחנה השני ויכולת גישור,D-009,אמונה שאפשר לבנות גשר מחודש בין המחנה הדמוקרטי־ליברלי לבין חלקים מהימין המסורתי,,,,
אמילי_מואטי,דעות,יחס למחנה השני ויכולת גישור,D-010,העדפה להכרעה פוליטית ברורה על פני פיוס מוקדם עם המחנה השני,,,,
אמילי_מואטי,דעות,יחס למחנה השני ויכולת גישור,D-011,"נכונות לשיח עם דתיים, מסורתיים, חרדים וימנים גם כאשר קיימת מחלוקת ערכית עמוקה",,,,
אמילי_מואטי,דעות,יחס למחנה השני ויכולת גישור,D-012,ראיית חלק מהמחנה השני כשותף עתידי אפשרי לשיקום המדינה לאחר עידן נתניהו,,,,
אמילי_מואטי,דעות,שסעים פנימיים בחברה היהודית,D-013,ראיית השסע העדתי והפריפריאלי כמרכיב מרכזי במשבר הפוליטי בישראל,,,,
