"candidate_id","axis","category","statement_id","statement_text","value","source","confidence","justification"
"לי הופמן אגיב","דעות","דמוקרטיה, משילות ותיקון מוסדות המדינה","D-001","נטייה לתיקון חוקתי ומוסדי עמוק, ולא רק להחלפת ממשלה","supports","קבצי פרופיל פרויקט הדמוקרטים: דבר/הארץ על הצטרפות מובילי מחאה ובהם לי הופמן והדס רגולסקי; ללא גלישה חדשה","72","הפרופיל הזמין מציב אותה בתוך גל מובילי המחאה שהצטרפו לדמוקרטים; לכן יש בסיס סביר לתמיכה במאבק דמוקרטי, תיקון מוסדי ושקיפות, אך לא פירוט מלא של מודל חוקתי."
"לי הופמן אגיב","דעות","דמוקרטיה, משילות ותיקון מוסדות המדינה","D-002","ראיית המשבר הדמוקרטי כתוצאה של שיטה פוליטית פגומה ולא רק של אדם או ממשלה מסוימת","supports","קבצי פרופיל פרויקט הדמוקרטים: דבר/הארץ על הצטרפות מובילי מחאה ובהם לי הופמן והדס רגולסקי; ללא גלישה חדשה","72","הפרופיל הזמין מציב אותה בתוך גל מובילי המחאה שהצטרפו לדמוקרטים; לכן יש בסיס סביר לתמיכה במאבק דמוקרטי, תיקון מוסדי ושקיפות, אך לא פירוט מלא של מודל חוקתי."
"לי הופמן אגיב","דעות","דמוקרטיה, משילות ותיקון מוסדות המדינה","D-003","נכונות למאבק ציבורי חריף כאשר מוסדות המדינה נתפסים כמאוימים","supports","קבצי פרופיל פרויקט הדמוקרטים: דבר/הארץ על הצטרפות מובילי מחאה ובהם לי הופמן והדס רגולסקי; ללא גלישה חדשה","72","הפרופיל הזמין מציב אותה בתוך גל מובילי המחאה שהצטרפו לדמוקרטים; לכן יש בסיס סביר לתמיכה במאבק דמוקרטי, תיקון מוסדי ושקיפות, אך לא פירוט מלא של מודל חוקתי."
"לי הופמן אגיב","דעות","דמוקרטיה, משילות ותיקון מוסדות המדינה","D-004","העדפה לשיקום ממלכתי, זהיר ומוסדי של המדינה לאחר המשבר","mixed","קבצי פרופיל פרויקט הדמוקרטים: דבר/הארץ על הצטרפות מובילי מחאה ובהם לי הופמן והדס רגולסקי; ללא גלישה חדשה","58","ניכרת זיקה למחאה ולשיקום דמוקרטי, אך לא נמצא בסיס שמראה העדפה ברורה דווקא למסלול ממלכתי־זהיר על פני מאבק ציבורי חד."
"לי הופמן אגיב","דעות","דמוקרטיה, משילות ותיקון מוסדות המדינה","D-005","תמיכה בשיתוף ציבור, דמוקרטיה פנימית ושקיפות בתוך המפלגה ובמערכת הפוליטית","supports","קבצי פרופיל פרויקט הדמוקרטים: דבר/הארץ על הצטרפות מובילי מחאה ובהם לי הופמן והדס רגולסקי; ללא גלישה חדשה","72","הפרופיל הזמין מציב אותה בתוך גל מובילי המחאה שהצטרפו לדמוקרטים; לכן יש בסיס סביר לתמיכה במאבק דמוקרטי, תיקון מוסדי ושקיפות, אך לא פירוט מלא של מודל חוקתי."
"לי הופמן אגיב","דעות","דמוקרטיה, משילות ותיקון מוסדות המדינה","D-006","נכונות להגביל כוח שלטוני גם כאשר הכוח נמצא בידי המחנה הקרוב אידיאולוגית","supports","קבצי פרופיל פרויקט הדמוקרטים: דבר/הארץ על הצטרפות מובילי מחאה ובהם לי הופמן והדס רגולסקי; ללא גלישה חדשה","72","הפרופיל הזמין מציב אותה בתוך גל מובילי המחאה שהצטרפו לדמוקרטים; לכן יש בסיס סביר לתמיכה במאבק דמוקרטי, תיקון מוסדי ושקיפות, אך לא פירוט מלא של מודל חוקתי."
"לי הופמן אגיב","דעות","יחס למחנה השני ויכולת גישור","D-007","ראיית מצביעי המחנה השני כיריבים פוליטיים לגיטימיים ולא כאויבים","mixed","קבצי פרופיל פרויקט הדמוקרטים: דבר/הארץ על הצטרפות מובילי מחאה ובהם לי הופמן והדס רגולסקי; ללא גלישה חדשה","55","יש זיקה למחנה דמוקרטי רחב, אך בפרופיל הזמין אין די מידע על יחס מפורט לציבור הימין, דתיים או חרדים."
"לי הופמן אגיב","דעות","יחס למחנה השני ויכולת גישור","D-008","הבחנה בין הנהגת המחנה השני לבין הציבור הרחב שתומך בה","mixed","קבצי פרופיל פרויקט הדמוקרטים: דבר/הארץ על הצטרפות מובילי מחאה ובהם לי הופמן והדס רגולסקי; ללא גלישה חדשה","55","יש זיקה למחנה דמוקרטי רחב, אך בפרופיל הזמין אין די מידע על יחס מפורט לציבור הימין, דתיים או חרדים."
"לי הופמן אגיב","דעות","יחס למחנה השני ויכולת גישור","D-009","אמונה שאפשר לבנות גשר מחודש בין המחנה הדמוקרטי־ליברלי לבין חלקים מהימין המסורתי","mixed","קבצי פרופיל פרויקט הדמוקרטים: דבר/הארץ על הצטרפות מובילי מחאה ובהם לי הופמן והדס רגולסקי; ללא גלישה חדשה","55","השתלבות בדמוקרטים ובמחאה מאפשרת בסיס חלקי לרעיון של בניית מחנה רחב, אך לא נמצאה עמדה מפורשת על גישור חברתי עמוק."
"לי הופמן אגיב","דעות","יחס למחנה השני ויכולת גישור","D-010","העדפה להכרעה פוליטית ברורה על פני פיוס מוקדם עם המחנה השני","supports","קבצי פרופיל פרויקט הדמוקרטים: דבר/הארץ על הצטרפות מובילי מחאה ובהם לי הופמן והדס רגולסקי; ללא גלישה חדשה","64","הזיהוי עם מחאה ציבורית נגד פגיעה בדמוקרטיה תומך בהעדפת מאבק וקווים אדומים כאשר הדמוקרטיה מאוימת."
