"candidate_id","axis","category","statement_id","statement_text","value","source","confidence","justification"
"עלי סלאלחה","דעות","דמוקרטיה, משילות ותיקון מוסדות המדינה","D-001","נטייה לתיקון חוקתי ומוסדי עמוק, ולא רק להחלפת ממשלה","supports","https://hagush.org.il/candidates.html; https://democrats.org.il/; https://main.knesset.gov.il/mk/pages/mkpersonaldetails.aspx?mkid=1086; https://meretz.org.il/%D7%A2%D7%9C%D7%99-%D7%A1%D7%9C%D7%90%D7%9C%D7%97%D7%94/; https://oknesset.org/members/30821.html","72","הפרופיל מצביע על פעילות במחנה הדמוקרטי־ליברלי/מרצ ועל מחויבות ציבורית לשלטון דמוקרטי; הקביעה בינונית כשההיגד דורש פירוט מוסדי ספציפי."
"עלי סלאלחה","דעות","דמוקרטיה, משילות ותיקון מוסדות המדינה","D-002","ראיית המשבר הדמוקרטי כתוצאה של שיטה פוליטית פגומה ולא רק של אדם או ממשלה מסוימת","supports","https://hagush.org.il/candidates.html; https://democrats.org.il/; https://main.knesset.gov.il/mk/pages/mkpersonaldetails.aspx?mkid=1086; https://meretz.org.il/%D7%A2%D7%9C%D7%99-%D7%A1%D7%9C%D7%90%D7%9C%D7%97%D7%94/; https://oknesset.org/members/30821.html","72","הפרופיל מצביע על פעילות במחנה הדמוקרטי־ליברלי/מרצ ועל מחויבות ציבורית לשלטון דמוקרטי; הקביעה בינונית כשההיגד דורש פירוט מוסדי ספציפי."
"עלי סלאלחה","דעות","דמוקרטיה, משילות ותיקון מוסדות המדינה","D-003","נכונות למאבק ציבורי חריף כאשר מוסדות המדינה נתפסים כמאוימים","supports","https://hagush.org.il/candidates.html; https://democrats.org.il/; https://main.knesset.gov.il/mk/pages/mkpersonaldetails.aspx?mkid=1086; https://meretz.org.il/%D7%A2%D7%9C%D7%99-%D7%A1%D7%9C%D7%90%D7%9C%D7%97%D7%94/; https://oknesset.org/members/30821.html","72","הפרופיל מצביע על פעילות במחנה הדמוקרטי־ליברלי/מרצ ועל מחויבות ציבורית לשלטון דמוקרטי; הקביעה בינונית כשההיגד דורש פירוט מוסדי ספציפי."
"עלי סלאלחה","דעות","דמוקרטיה, משילות ותיקון מוסדות המדינה","D-004","העדפה לשיקום ממלכתי, זהיר ומוסדי של המדינה לאחר המשבר","supports","https://hagush.org.il/candidates.html; https://democrats.org.il/; https://main.knesset.gov.il/mk/pages/mkpersonaldetails.aspx?mkid=1086; https://meretz.org.il/%D7%A2%D7%9C%D7%99-%D7%A1%D7%9C%D7%90%D7%9C%D7%97%D7%94/; https://oknesset.org/members/30821.html","72","הפרופיל מצביע על פעילות במחנה הדמוקרטי־ליברלי/מרצ ועל מחויבות ציבורית לשלטון דמוקרטי; הקביעה בינונית כשההיגד דורש פירוט מוסדי ספציפי."
"עלי סלאלחה","דעות","דמוקרטיה, משילות ותיקון מוסדות המדינה","D-005","תמיכה בשיתוף ציבור, דמוקרטיה פנימית ושקיפות בתוך המפלגה ובמערכת הפוליטית","supports","https://hagush.org.il/candidates.html; https://democrats.org.il/; https://main.knesset.gov.il/mk/pages/mkpersonaldetails.aspx?mkid=1086; https://meretz.org.il/%D7%A2%D7%9C%D7%99-%D7%A1%D7%9C%D7%90%D7%9C%D7%97%D7%94/; https://oknesset.org/members/30821.html","72","הפרופיל מצביע על פעילות במחנה הדמוקרטי־ליברלי/מרצ ועל מחויבות ציבורית לשלטון דמוקרטי; הקביעה בינונית כשההיגד דורש פירוט מוסדי ספציפי."
"עלי סלאלחה","דעות","דמוקרטיה, משילות ותיקון מוסדות המדינה","D-006","נכונות להגביל כוח שלטוני גם כאשר הכוח נמצא בידי המחנה הקרוב אידיאולוגית","supports","https://hagush.org.il/candidates.html; https://democrats.org.il/; https://main.knesset.gov.il/mk/pages/mkpersonaldetails.aspx?mkid=1086; https://meretz.org.il/%D7%A2%D7%9C%D7%99-%D7%A1%D7%9C%D7%90%D7%9C%D7%97%D7%94/; https://oknesset.org/members/30821.html","72","הפרופיל מצביע על פעילות במחנה הדמוקרטי־ליברלי/מרצ ועל מחויבות ציבורית לשלטון דמוקרטי; הקביעה בינונית כשההיגד דורש פירוט מוסדי ספציפי."
"עלי סלאלחה","דעות","יחס למחנה השני ויכולת גישור","D-007","ראיית מצביעי המחנה השני כיריבים פוליטיים לגיטימיים ולא כאויבים","supports","https://hagush.org.il/candidates.html; https://democrats.org.il/; https://main.knesset.gov.il/mk/pages/mkpersonaldetails.aspx?mkid=1086; https://meretz.org.il/%D7%A2%D7%9C%D7%99-%D7%A1%D7%9C%D7%90%D7%9C%D7%97%D7%94/; https://oknesset.org/members/30821.html","72","הרקע הציבורי מתמקד בחיבור בין קהלים, שותפות או עבודה עם ציבור מגוון; יש בסיס לסיווג כתומך בגישור ובשיח לגיטימי."
"עלי סלאלחה","דעות","יחס למחנה השני ויכולת גישור","D-008","הבחנה בין הנהגת המחנה השני לבין הציבור הרחב שתומך בה","supports","https://hagush.org.il/candidates.html; https://democrats.org.il/; https://main.knesset.gov.il/mk/pages/mkpersonaldetails.aspx?mkid=1086; https://meretz.org.il/%D7%A2%D7%9C%D7%99-%D7%A1%D7%9C%D7%90%D7%9C%D7%97%D7%94/; https://oknesset.org/members/30821.html","72","הרקע הציבורי מתמקד בחיבור בין קהלים, שותפות או עבודה עם ציבור מגוון; יש בסיס לסיווג כתומך בגישור ובשיח לגיטימי."
"עלי סלאלחה","דעות","יחס למחנה השני ויכולת גישור","D-009","אמונה שאפשר לבנות גשר מחודש בין המחנה הדמוקרטי־ליברלי לבין חלקים מהימין המסורתי","supports","https://hagush.org.il/candidates.html; https://democrats.org.il/; https://main.knesset.gov.il/mk/pages/mkpersonaldetails.aspx?mkid=1086; https://meretz.org.il/%D7%A2%D7%9C%D7%99-%D7%A1%D7%9C%D7%90%D7%9C%D7%97%D7%94/; https://oknesset.org/members/30821.html","72","הרקע הציבורי מתמקד בחיבור בין קהלים, שותפות או עבודה עם ציבור מגוון; יש בסיס לסיווג כתומך בגישור ובשיח לגיטימי."
"עלי סלאלחה","דעות","יחס למחנה השני ויכולת גישור","D-010","העדפה להכרעה פוליטית ברורה על פני פיוס מוקדם עם המחנה השני","mixed","https://hagush.org.il/candidates.html; https://democrats.org.il/; https://main.knesset.gov.il/mk/pages/mkpersonaldetails.aspx?mkid=1086; https://meretz.org.il/%D7%A2%D7%9C%D7%99-%D7%A1%D7%9C%D7%90%D7%9C%D7%97%D7%94/; https://oknesset.org/members/30821.html","55","הפרופיל מדגיש גישור ושותפות, אך גם מאבק ציבורי ודמוקרטי; לכן אין העדפה חד־משמעית להכרעה על פני פיוס."
"עלי סלאלחה","דעות","יחס למחנה השני ויכולת גישור","D-011","נכונות לשיח עם דתיים, מסורתיים, חרדים וימנים גם כאשר קיימת מחלוקת ערכית עמוקה","supports","https://hagush.org.il/candidates.html; https://democrats.org.il/; https://main.knesset.gov.il/mk/pages/mkpersonaldetails.aspx?mkid=1086; https://meretz.org.il/%D7%A2%D7%9C%D7%99-%D7%A1%D7%9C%D7%90%D7%9C%D7%97%D7%94/; https://oknesset.org/members/30821.html","72","הרקע הציבורי מתמקד בחיבור בין קהלים, שותפות או עבודה עם ציבור מגוון; יש בסיס לסיווג כתומך בגישור ובשיח לגיטימי."
"עלי סלאלחה","דעות","יחס למחנה השני ויכולת גישור","D-012","ראיית חלק מהמחנה השני כשותף עתידי אפשרי לשיקום המדינה לאחר עידן נתניהו","supports","https://hagush.org.il/candidates.html; https://democrats.org.il/; https://main.knesset.gov.il/mk/pages/mkpersonaldetails.aspx?mkid=1086; https://meretz.org.il/%D7%A2%D7%9C%D7%99-%D7%A1%D7%9C%D7%90%D7%9C%D7%97%D7%94/; https://oknesset.org/members/30821.html","72","הרקע הציבורי מתמקד בחיבור בין קהלים, שותפות או עבודה עם ציבור מגוון; יש בסיס לסיווג כתומך בגישור ובשיח לגיטימי."
