"candidate_id","axis","category","statement_id","statement_text","value","source","confidence","justification"
"רונן צור","דעות","דמוקרטיה, משילות ותיקון מוסדות המדינה","D-001","נטייה לתיקון חוקתי ומוסדי עמוק, ולא רק להחלפת ממשלה","supports","קובץ פרופיל רונן צור(4).txt; https://www.zman.co.il/496241/; https://103fm.maariv.co.il/programs/media.aspx?ZrqvnVq=JDGEGM&c41t4nzVQ=FJF","85","בריאיון ובפרופיל הוא מציג צורך בפלטפורמה ליברלית, חוקתית ומוסדית, ולא רק בהחלפת נתניהו."
"רונן צור","דעות","דמוקרטיה, משילות ותיקון מוסדות המדינה","D-002","ראיית המשבר הדמוקרטי כתוצאה של שיטה פוליטית פגומה ולא רק של אדם או ממשלה מסוימת","supports","קובץ פרופיל רונן צור(4).txt; https://www.zman.co.il/496241/; https://www.jdn.co.il/news/2566342/","88","הוא מנתח את המשבר כבעיה של ארגון המחנה, שיטה, הנהגה, מוסדות והשפעה ציבורית, ולא רק כאדם יחיד."
"רונן צור","דעות","דמוקרטיה, משילות ותיקון מוסדות המדינה","D-003","נכונות למאבק ציבורי חריף כאשר מוסדות המדינה נתפסים כמאוימים","supports","קובץ פרופיל רונן צור(4).txt; https://www.zman.co.il/496241/; https://103fm.maariv.co.il/programs/media.aspx?ZrqvnVq=JDGEGM&c41t4nzVQ=FJF","92","פעל וקרא למחאה אזרחית חריפה מול ההפיכה המשטרית ומול מכונות ההשפעה של הימין."
"רונן צור","דעות","דמוקרטיה, משילות ותיקון מוסדות המדינה","D-004","העדפה לשיקום ממלכתי, זהיר ומוסדי של המדינה לאחר המשבר","mixed","קובץ פרופיל רונן צור(4).txt; https://www.zman.co.il/496241/; https://www.jdn.co.il/news/2566342/","58","יש אצלו שיח מוסדי של חוקה והפרדת רשויות, אך הסגנון והכלים שהוא מציע לוחמניים מאוד ולא תמיד ממלכתיים־זהירים."
"רונן צור","דעות","דמוקרטיה, משילות ותיקון מוסדות המדינה","D-005","תמיכה בשיתוף ציבור, דמוקרטיה פנימית ושקיפות בתוך המפלגה ובמערכת הפוליטית","supports","קובץ פרופיל רונן צור(4).txt; https://www.zman.co.il/496241/; https://www.jdn.co.il/news/2566342/","80","דרש בחירות פנימיות דמוקרטיות וביקורת על מנהיגים שאינם מעמידים עצמם לבחירה."
"רונן צור","דעות","דמוקרטיה, משילות ותיקון מוסדות המדינה","D-006","נכונות להגביל כוח שלטוני גם כאשר הכוח נמצא בידי המחנה הקרוב אידיאולוגית","supports","קובץ פרופיל רונן צור(4).txt; https://www.zman.co.il/496241/; https://www.jdn.co.il/news/2566342/","72","הביקורת שלו על מנהיגי המרכז־שמאל ועל צייתנות במחנה שלו מעידה על נכונות להגביל כוח גם במחנה הקרוב."
"רונן צור","דעות","יחס למחנה השני ויכולת גישור","D-007","ראיית מצביעי המחנה השני כיריבים פוליטיים לגיטימיים ולא כאויבים","mixed","קובץ פרופיל רונן צור(4).txt; https://www.zman.co.il/496241/; https://www.jdn.co.il/news/2566342/","55","הוא מבחין בניתוחים בין אליטות וקבוצות, אך משתמש בשפה חריפה מאוד כלפי המחנה הביביסטי והנהגתו."
"רונן צור","דעות","יחס למחנה השני ויכולת גישור","D-008","הבחנה בין הנהגת המחנה השני לבין הציבור הרחב שתומך בה","supports","קובץ פרופיל רונן צור(4).txt; https://www.zman.co.il/496241/; https://www.jdn.co.il/news/2566342/","68","בניתוחו הוא מפריד בין אליטה שמרנית, ציבור מסורתי/חרדי/דתי־לאומי וגורמי הנהגה, גם אם באופן ביקורתי מאוד."
"רונן צור","דעות","יחס למחנה השני ויכולת גישור","D-009","אמונה שאפשר לבנות גשר מחודש בין המחנה הדמוקרטי־ליברלי לבין חלקים מהימין המסורתי","mixed","קובץ פרופיל רונן צור(4).txt; https://www.zman.co.il/496241/; https://www.jdn.co.il/news/2566342/","60","הוא מדבר על הצורך להעביר חלק מהפריפריה לגוש הליברלי ועל ראשי גשר לציונות דתית וחרדים, אך בסגנון של מאבק ולא של פיוס."
"רונן צור","דעות","יחס למחנה השני ויכולת גישור","D-010","העדפה להכרעה פוליטית ברורה על פני פיוס מוקדם עם המחנה השני","supports","קובץ פרופיל רונן צור(4).txt; https://www.zman.co.il/496241/; https://www.jdn.co.il/news/2566342/","84","הדגש המרכזי אצלו הוא הכרעה, בניית כוח פוליטי ומכונות השפעה נגדיות, יותר מאשר פיוס מוקדם."
