מועמד,קטגוריה,סגנון,סגנון_ביטחון,תפקיד_מאבק,תפקיד_חקיקה,תפקיד_חיבור,נושאים_מכוסים,ממוצע_עמדות,תחומי_חוזק_בולטים
אפרת רייטן,,,,,,,,,
נעמה לזימי,,,,,,,,,
אמילי מואטי,,,,,,,,,
קטי פיאסצקי,,,,,,,,,
מיכל רוזין,,,,,,,,,
מורן זר כצשטיין,,,,,,,,,
מהרטה ברוך רון,,,,,,,,,
הדס רגולסקי,,,,,,,,,
גבי לסקי,,,,,,,,,
יעל כהן-פארן,,,,,,,,,
מורן מישל,,,,,,,,,
ענבר בזק,נשים,ממלכתי ואחראי,בינוני,4,8,6,8/12,7.4,"חברה/כלכלה/פריפריה, שוויון זכויות, חינוך"
ענבל וורטמן שוהם,,,,,,,,,
לי הופמן אגיב,,,,,,,,,
רותם סיון הופמן,,,,,,,,,
חן אריאלי,,,,,,,,,
יאיא פינק,,,,,,,,,
יריב אופנהימר,,,,,,,,,
אבי דבוש,,,,,,,,,
מוסי רז,,,,,,,,,
גלעד קריב,,,,,,,,,
נאור נרקיס,,,,,,,,,
רם שפע,,,,,,,,,
נמרוד שפר,,,,,,,,,
רונן צור,,,,,,,,,
משה רדמן,,,,,,,,,
ערן עציון,,,,,,,,,
דני אלגרט,,,,,,,,,
תומר אביטל,,,,,,,,,
יאיר רובינשטיין,,,,,,,,,
אמיר חניפס,,,,,,,,,
עלי סלאלחה,,,,,,,,,
מאלק בדר,,,,,,,,,
גאלב סלאמנה,,,,,,,,,
עאיד בדיר,,,,,,,,,
איהאב שליאן,,,,,,,,,
נדאל מסאלחה,,,,,,,,,
סומיה בשיר,,,,,,,,,
אומיימה חאמד,,,,,,,,,
אבתיסאם מראענה-מנוחין,,,,,,,,,
אורי זכי,,,,,,,,,
איילת השחר סיידוף,,,,,,,,,
נאווה רוזוליו,,,,,,,,,
