id1,id2,id3,id4,id5,id6,sud01,sud01e,sud02,sud02e,sud03,sud03e,sud04,sud04e,sud05,sud05e,sud06,sud06e,sud07,sud07e,sud08,sud08e,sud09,sud09e,sud10,sud10e,sud11,sud11e,sud12,sud12e,suc01,suc01e,suc02,suc02e,suc03,suc03e,suc04,suc04e,suc05,suc05e,suc06,suc06e,suc07,suc07e,suc08,suc08e,suc09,suc09e,suc10,suc10e,suc11,suc11e,suc12,suc12e,sut01,sut01e,sut02,sut02e,sut03,sut03e,sut04,sut04e,sut05,sut05e,sut06,sut06e,sut07,sut07e,sut08,sut08e,sut09,sut09e,sut10,sut10e,sut11,sut11e,sut12,sut12e,zps,zpc,zr1,zr2,zr3,zcca,zccb,zccc,zccd,zcce,zcrg0,zcrg1,zcrg2,zcrg3,zcrg4,zcrg5,zcrg6,zcrg7,zcrg8,zcrg9
אבי דבוש,,,,,,9,90,9,85,9,90,,,10,95,9,95,,,10,95,9,85,,,,,9,85,8,85,8,85,9,90,,,9,95,8,90,,,9,90,8,80,,,,,8,85,8,85,9,85,8,80,,,9,95,9,90,,,9,95,8,85,,,,,8,80,מגשר ורגוע,בינוני,5,4,8,9.2,,,,,,,,,,,,,,
אבתיסאם מראענה-מנוחין,,,,,,7,60,,,8,85,,,9,90,8,85,,,8,85,7,50,,,8,85,,,,,,,8,85,,,8,90,,,,,8,90,,,,,9,95,,,7,60,,,8,85,,,9,90,9,90,,,7,80,7,50,,,8,90,,,שילוב,—,6,5,6,7.9,,,,,,,,,,,,,,
אומיימה חאמד,,,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,30,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,
אורי זכי,,,,,,9,90,,,9,80,,,9,85,10,95,,,,,8,60,9,85,,,,,8,85,,,7,75,,,8,80,8,85,,,,,,,8,80,,,,,9,90,,,8,80,,,8,80,9,90,,,,,,,8,80,,,,,שילוב,—,8,3,3,9.0,,,,,,,,,,,,,,
איהאב שליאן,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
איילת השחר סיידוף,,,,,,8,80,,,8,80,10,95,,,,,,,,,9,85,,,,,,,8,80,,,8,80,9,95,,,,,,,,,8,85,,,,,,,8,80,,,8,80,10,95,,,,,,,,,9,85,,,,,,,שילוב,—,8,4,3,8.8,,,,,,,,,,,,,,
אמילי מואטי,,,,,,9,80,8,85,8,70,,,9,80,9,95,,,8,70,,,,,8,80,,,6,70,7,80,5,50,,,6,60,8,90,,,4,40,,,,,8,90,,,8,80,8,80,7,60,,,8,70,9,90,,,7,60,,,,,7,70,,,שילוב,נמוך,4,6,6,8.4,,,,,,,,,,,,,,
אמיר חניפס,,,,,,9,90,9,90,10,95,8,60,9,85,,,,,8,80,8,50,,,,,,,8,85,9,90,9,90,,,8,85,,,,,7,80,,,,,,,,,9,90,9,90,10,95,8,60,8,80,,,,,8,80,7,50,,,,,,,לוחם וברור,נמוך-בינוני,7,3,8,8.7,,,,,,,,,,,,,,
אפרת רייטן,,,,,,9,95,8,85,9,90,8,80,7,60,6,50,8,80,9,95,8,85,,,9,90,,,9,95,9,95,9,95,8,85,6,50,,,7,75,9,95,8,85,,,9,95,,,9,95,9,90,9,90,8,80,6,50,,,9,90,9,90,8,85,,,10,95,,,ממלכתי ואחראי,בינוני,4,9,5,8.1,,,,,,,,,,,,,,
גאלב סלאמנה,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
